PeakID (cmd=annotatePeaks.pl /exports/humgen/jihed/Coordinate_TOKEEP/atac_peaks/ATAC_Veronica_DN1/DN1_KO_more_accessible_allvsall.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr8-107360732-2	chr8	107360616	107360813	+	30.80	NA	intron (NM_133957, intron 11 of 15)	B4A|SINE|B4	42491	NM_008706	18104	Mm.252	NM_008706	ENSMUSG00000003849	Nqo1	AV001255|Dia4|Dtd|Nmo-1|Nmo1|Nmor1|Ox-1|Ox1|Qr1	NAD(P)H dehydrogenase, quinone 1	protein-coding
Merged-chr6-60913035-1	chr6	60912936	60913135	+	30.80	NA	Intergenic	L1Md_F3|LINE|L1	-31282	NM_027613	70945	Mm.389770	NM_027613	ENSMUSG00000054641	Mmrn1	4921530G03Rik|Emilin4|Mmrn	multimerin 1	protein-coding
Merged-chr15-40493691-2	chr15	40493582	40493804	+	28.80	NA	Intergenic	Intergenic	33584	NR_046185	432945	Mm.321981	NR_046185	ENSMUSG00000056332	Gm16294	EG432945	predicted gene 16294	ncRNA
Merged-chr9-3016049-2	chr9	3015987	3016115	+	28.40	NA	Intergenic	GSAT_MM|Satellite|Satellite	22692	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
Merged-chr2-150268728-4	chr2	150268118	150269389	+	28.15	NA	exon (NM_001142410, exon 4 of 4)	exon (NM_001142410, exon 4 of 4)	11236	NM_001142410	100216455	Mm.484816	NM_001142410	ENSMUSG00000079008	Gm14124	EG640962|Gm10749	predicted gene 14124	protein-coding
Merged-chr1-4427526-2	chr1	4427354	4427670	+	28.00	NA	Intergenic	Intergenic	-18271	NM_001195662	19888	Mm.294263	NM_011283	ENSMUSG00000025900	Rp1	Dcdc3|Gm38717|Orp1|Rp1h|mG145	retinitis pigmentosa 1 (human)	protein-coding
Merged-chr18-61190049-1	chr18	61189950	61190149	+	28.00	NA	Intergenic	Intergenic	-12999	NM_134134	106894	Mm.22574	NM_134134	ENSMUSG00000024622	Hmgxb3	2510002C16Rik|A630042L21Rik|AI413166|mKIAA0194	HMG box domain containing 3	protein-coding
Merged-chr12-97603458-4	chr12	97603234	97603735	+	27.90	NA	Intergenic	RLTR45|LTR|ERVK	655975	NM_008079	14420	Mm.5120	NM_008079	ENSMUSG00000021003	Galc	2310068B06Rik|A930008M05Rik|AW212969|AW413532|Gacy|twi|twitcher	galactosylceramidase	protein-coding
Merged-chr4-13907270-2	chr4	13906925	13907452	+	27.40	NA	Intergenic	Intergenic	122406	NM_009822	12395	Mm.4909	NM_009822	ENSMUSG00000006586	Runx1t1	Cbfa2t1h|ETO|MTG8	RUNX1 translocation partner 1	protein-coding
Merged-chr18-47765675-1	chr18	47765558	47765794	+	27.20	NA	intron (NR_152200, intron 1 of 2)	intron (NR_152200, intron 1 of 2)	23857	NR_152200	100042982	Mm.125235	NR_152200		Gm4146	Gm45939	predicted gene 4146	ncRNA
Merged-chr12-67613020-3	chr12	67612622	67613234	+	26.40	NA	Intergenic	RLTR45|LTR|ERVK	-390379	NM_207010	320772	Mm.227680	NM_207010	ENSMUSG00000034912	Mdga2	6720489L24Rik|9330209L04Rik|Adp|Mamdc1|Tg(Prnp-PFN1*G118V)838Kiaei	MAM domain containing glycosylphosphatidylinositol anchor 2	protein-coding
Merged-chr15-69481241-2	chr15	69481037	69481361	+	26.00	NA	Intergenic	Intergenic	210666	NR_130983	75076		NR_130983	ENSMUSG00000116167	4930504C09Rik	-	RIKEN cDNA 4930504C09 gene	ncRNA
Merged-chr5-12977914-1	chr5	12977832	12977998	+	26.00	NA	Intergenic	Intergenic	-418869	NM_001243072	20346	Mm.372039	NM_009152	ENSMUSG00000028883	Sema3a	Hsema-I|SEMA1|SemD|Semad|coll-1	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	protein-coding
Merged-chr3-53185660-2	chr3	53185547	53185756	+	25.40	NA	intron (NM_175386, intron 2 of 3)	intron (NM_175386, intron 2 of 3)	144104	NM_175386	108927	Mm.118617	NM_175386	ENSMUSG00000048332	Lhfp	2810489O06Rik|AI194968|Lhfpl6	lipoma HMGIC fusion partner	protein-coding
Merged-chr9-40645698-1	chr9	40645634	40645764	+	24.40	NA	Intergenic	Intergenic	-40320	NM_133733	71566	Mm.280560	NM_133733	ENSMUSG00000032024	Clmp	9030425E11Rik|ACAM|ASP5|AW557819	CXADR-like membrane protein	protein-coding
Merged-chr11-108154168-1	chr11	108154055	108154283	+	24.40	NA	intron (NM_011101, intron 3 of 16)	intron (NM_011101, intron 3 of 16)	157321	NR_106082	102465705		NR_106082	ENSMUSG00000098989	Mir7223	Gm28009|mmu-mir-7223	microRNA 7223	ncRNA
Merged-chr15-63714240-1	chr15	63714170	63714312	+	23.60	NA	Intergenic	Intergenic	94498	NM_031378	83492	Mm.335619	NM_031378	ENSMUSG00000079025	Gsdmc	Gsdmc1|Mlze	gasdermin C	protein-coding
Merged-chr7-122868397-1	chr7	122868271	122868525	+	23.60	NA	Intergenic	Intergenic	102061	NR_045614	73951	Mm.389936	NR_045614		4930413G21Rik	-	RIKEN cDNA 4930413G21 gene	ncRNA
Merged-chr6-102556737-1	chr6	102556656	102556819	+	23.60	NA	Intergenic	Intergenic	-92070	NM_008779	18488	Mm.435479	NM_008779	ENSMUSG00000030075	Cntn3	Pang	contactin 3	protein-coding
Merged-chr18-23604089-2	chr18	23603986	23604212	+	23.60	NA	3' UTR (NM_010087, exon 12 of 12)	3' UTR (NM_010087, exon 12 of 12)	106617	NM_001361215	13527	Mm.94371	NM_010087	ENSMUSG00000024302	Dtna	2210407P21Rik|DTN-A|Dtn|Gm19389|a-DB-1|adbn	dystrobrevin alpha	protein-coding
Merged-chr17-19226221-1	chr17	19226026	19226418	+	23.40	NA	Intergenic	ERVB4_3-LTR_MM|LTR|ERVK	-135913	NM_001104551	665376	Mm.469859	NM_001104551	ENSMUSG00000090304	Vmn2r99	EG665376	vomeronasal 2, receptor 99	protein-coding
Merged-chr7-55190952-1	chr7	55190858	55191048	+	23.20	NA	intron (NM_178705, intron 7 of 11)	intron (NM_178705, intron 7 of 11)	355708	NM_178705	233271	Mm.387344	NM_178705	ENSMUSG00000063297	Luzp2	9330154K17Rik|D130073E01	leucine zipper protein 2	protein-coding
Merged-chr13-54988472-1	chr13	54988366	54988579	+	23.20	NA	intron (NM_001311128, intron 1 of 14)	intron (NM_001311128, intron 1 of 14)	32347	NM_001206391	212032	Mm.267479	NM_001033245	ENSMUSG00000025877	Hk3	HK III|HK-III	hexokinase 3	protein-coding
Merged-chr11-40568783-1	chr11	40568680	40568887	+	22.80	NA	Intergenic	RLTR45|LTR|ERVK	123899	NM_134017	108645	Mm.293771	NM_134017	ENSMUSG00000042032	Mat2b	1110064C04Rik|2410018D16Rik|AI182287|AU022853|MAT-II|MATIIbeta|TGR	methionine adenosyltransferase II, beta	protein-coding
Merged-chr14-12393027-1	chr14	12392959	12393096	+	22.80	NA	intron (NM_001359921, intron 28 of 29)	intron (NM_001359921, intron 28 of 29)	-47162	NM_080433	54713	Mm.34644	NM_080433	ENSMUSG00000021743	Fezf2	AI451466|AI852056|Fez|Fezl|Zfp312	Fez family zinc finger 2	protein-coding
Merged-chr6-30437996-1	chr6	30437826	30438168	+	22.60	NA	intron (NM_029742, intron 2 of 9)	intron (NM_029742, intron 2 of 9)	-22988	NR_131049	69337	Mm.396168	NR_131049	ENSMUSG00000085470	1700012C14Rik	-	RIKEN cDNA 1700012C14 gene	ncRNA
Merged-chr5-43770892-1	chr5	43770813	43770972	+	22.00	NA	intron (NM_178729, intron 2 of 8)	B1_Mur1|SINE|Alu	11257	NM_178729	242960	Mm.25794	NM_178729	ENSMUSG00000039753	Fbxl5	Fbl4|Fir4	F-box and leucine-rich repeat protein 5	protein-coding
Merged-chr9-103402737-2	chr9	103402548	103402889	+	22.00	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-20860	NR_040466	100529079	Mm.437003	NR_040466	ENSMUSG00000086236	5830418P13Rik	-	RIKEN cDNA 5830418P13 gene	ncRNA
Merged-chr16-84593737-1	chr16	84593631	84593844	+	21.60	NA	Intergenic	Intergenic	-86052	NR_040537	78023	Mm.243853	NR_040537		4930529L06Rik	-	RIKEN cDNA 4930529L06 gene	ncRNA
Merged-chr19-60493614-1	chr19	60493492	60493737	+	21.20	NA	Intergenic	Intergenic	-25310	NM_201615	226278	Mm.377241	NM_201615	ENSMUSG00000045052	Prlhr	Gm339|Gpr10|Gr3|Prrpr	prolactin releasing hormone receptor	protein-coding
Merged-chr2-141099125-1	chr2	141098996	141099255	+	21.20	NA	intron (NM_001013802, intron 5 of 18)	intron (NM_001013802, intron 5 of 18)	-427649	NM_178382	71436	Mm.426781	NM_178382	ENSMUSG00000051379	Flrt3	5530600M07Rik|C430047I10Rik|mKIAA1469	fibronectin leucine rich transmembrane protein 3	protein-coding
Merged-chr7-92415197-1	chr7	92415076	92415319	+	21.20	NA	intron (NM_001243047, intron 4 of 10)	intron (NM_001243047, intron 4 of 10)	-145952	NM_025515	66365	Mm.21173	NM_025515	ENSMUSG00000030613	Ccdc90b	2310015N07Rik|C86558	coiled-coil domain containing 90B	protein-coding
Merged-chr14-107328253-1	chr14	107328139	107328369	+	21.20	NA	Intergenic	Lx3C|LINE|L1	-841734	NR_045938	73631	Mm.48862	NR_045938	ENSMUSG00000099794	1700128A07Rik	-	RIKEN cDNA 1700128A07 gene	ncRNA
Merged-chr2-149552533-1	chr2	149552448	149552619	+	20.80	NA	Intergenic	L1M5|LINE|L1	147284	NM_021405	58214	Mm.117117	NM_021405	ENSMUSG00000033156	Cst10	DD72	cystatin 10 (chondrocytes)	protein-coding
Merged-chr4-20102951-1	chr4	20102865	20103038	+	20.40	NA	Intergenic	Intergenic	60899	NM_010281	14590	Mm.20461	NM_010281	ENSMUSG00000073987	Ggh	gamma-GH	gamma-glutamyl hydrolase	protein-coding
Merged-chr7-91784327-2	chr7	91784033	91784583	+	20.40	NA	intron (NM_011807, intron 3 of 22)	intron (NM_011807, intron 3 of 22)	-278086	NM_001243046	23859	Mm.147213	NM_011807	ENSMUSG00000052572	Dlg2	A330103J02Rik|B230218P12Rik|B330007M19Rik|Dlgh2|Gm1197|Gm21505|PSD93	discs large MAGUK scaffold protein 2	protein-coding
Merged-chr13-3520260-2	chr13	3520099	3520422	+	20.00	NA	Intergenic	Intergenic	-17815	NM_008112	14569	Mm.153226	NM_008112	ENSMUSG00000021218	Gdi2	GDI-B|GDIB|Gdi3	guanosine diphosphate (GDP) dissociation inhibitor 2	protein-coding
Merged-chr12-79551418-1	chr12	79551314	79551523	+	20.00	NA	intron (NM_009014, intron 7 of 10)	intron (NM_009014, intron 7 of 10)	254067	NM_001252562	19363	Mm.341756	NM_009014	ENSMUSG00000059060	Rad51b	AI553500|R51H2|Rad51l1|mREC2	RAD51 paralog B	protein-coding
Merged-chr13-61022973-1	chr13	61022889	61023059	+	20.00	NA	Intergenic	Intergenic	-17049	NM_001356291	26898	Mm.31948	NM_012007	ENSMUSG00000055298	Ctsj	CATP|CatRLP|Ctsp	cathepsin J	protein-coding
Merged-chr6-112445957-1	chr6	112445831	112446084	+	19.60	NA	Intergenic	RMER12|LTR|ERVK	-13548	NM_007617	12391	Mm.3924	NM_007617	ENSMUSG00000062694	Cav3	AI385751|Cav-3|M-cav	caveolin 3	protein-coding
Merged-chr12-58219320-3	chr12	58219027	58219588	+	19.55	NA	Intergenic	Intergenic	7503	NM_009216	20605	Mm.278336	NM_009216	ENSMUSG00000035431	Sstr1	SRIF-2|SS-1-R|SS1-R|SS1R|Smstr-1|Smstr1|sst1	somatostatin receptor 1	protein-coding
Merged-chr2-27547512-1	chr2	27547446	27547580	+	19.40	NA	Intergenic	ORR1C1-int|LTR|ERVL-MaLR	32366	NM_080848	140858	Mm.28265	NM_080848	ENSMUSG00000026917	Wdr5	2410008O07Rik|AA408785|AA960360|Big|Big-3	WD repeat domain 5	protein-coding
Merged-chr6-143093010-1	chr6	143092925	143093097	+	19.20	NA	intron (NM_001286578, intron 2 of 24)	intron (NM_001286578, intron 2 of 24)	7141	NM_029897	74741	Mm.130260	NM_029081	ENSMUSG00000030279	C2cd5	5730419I09Rik|C030008B15Rik|CDP138	C2 calcium-dependent domain containing 5	protein-coding
Merged-chr6-84445242-1	chr6	84445163	84445323	+	19.20	NA	Intergenic	Intergenic	-21405	NR_046063	100038556	Mm.387783	NR_046063	ENSMUSG00000107797	Gm10445	-	predicted gene 10445	ncRNA
Merged-chr10-74524784-1	chr10	74524688	74524882	+	19.20	NA	intron (NM_001142743, intron 25 of 34)	RLTR45|LTR|ERVK	-442392	NM_010311	14687	Mm.32595	NM_010311	ENSMUSG00000040009	Gnaz	AI847979|Gz	guanine nucleotide binding protein, alpha z subunit	protein-coding
Merged-chr3-153972053-1	chr3	153971982	153972125	+	18.90	NA	Intergenic	Intergenic	-1383	NM_001081263	242259	Mm.239962	NM_001081263	ENSMUSG00000028360	Slc44a5	AA117069|Gm422	solute carrier family 44, member 5	protein-coding
Merged-chr3-147508033-1	chr3	147507904	147508164	+	18.80	NA	Intergenic	Intergenic	655667	NM_001302958	70892	Mm.187793	NM_027594	ENSMUSG00000036745	Ttll7	1110049N09Rik|4921517B04Rik|C630030B20|mTTLL7	tubulin tyrosine ligase-like family, member 7	protein-coding
Merged-chr19-36479557-1	chr19	36479450	36479666	+	18.60	NA	Intergenic	L1M2|LINE|L1	69810	NM_001368693	76073	Mm.259180	NM_029508	ENSMUSG00000024805	Pcgf5	0610009F02Rik|1110054A01Rik|5830406C17Rik|5830443C21Rik|9530023M17Rik|AI324127	polycomb group ring finger 5	protein-coding
Merged-chr14-105982178-1	chr14	105982074	105982284	+	18.40	NA	Intergenic	MER58B|DNA|hAT-Charlie	-85360	NM_011897	24064	Mm.89982	NM_011897	ENSMUSG00000022114	Spry2	sprouty2	sprouty RTK signaling antagonist 2	protein-coding
Merged-chr17-62317369-1	chr17	62317293	62317446	+	18.40	NA	Intergenic	Intergenic	563948	NM_010109	13640	Mm.7978	NM_010109	ENSMUSG00000048915	Efna5	AL-1|AV158822|EFL-5|Ephrin-A5|Epl7|LERK-7|RAGS	ephrin A5	protein-coding
Merged-chr8-61429370-1	chr8	61429281	61429461	+	18.40	NA	Intergenic	Intergenic	-58363	NM_145595	234309	Mm.29059	NM_145595	ENSMUSG00000031641	Cbr4	A730083J17Rik|BC009118	carbonyl reductase 4	protein-coding
Merged-chr17-42905446-1	chr17	42905309	42905585	+	18.40	NA	Intergenic	Intergenic	-29023	NM_009847	12488	Mm.218637	NM_009847	ENSMUSG00000061665	Cd2ap	AL024079|C78928|METS-1|Mets1	CD2-associated protein	protein-coding
Merged-chr18-86962920-1	chr18	86962780	86963062	+	18.40	NA	Intergenic	Intergenic	250610	NM_001361145	12405	Mm.70775	NM_172633	ENSMUSG00000024647	Cbln2	6330593N19Rik|A730004O05	cerebellin 2 precursor protein	protein-coding
Merged-chr1-122806744-1	chr1	122806572	122806918	+	18.00	NA	Intergenic	Intergenic	601600	NR_151524	102638832	Mm.112794	NR_151524	ENSMUSG00000099960	Gm28590	-	predicted gene 28590	ncRNA
Merged-chr17-59396325-1	chr17	59396228	59396423	+	18.00	NA	Intergenic	Lx8|LINE|L1	-383003	NM_026497	67993	Mm.36507	NM_026497	ENSMUSG00000024228	Nudt12	0610016O18Rik	nudix (nucleoside diphosphate linked moiety X)-type motif 12	protein-coding
Merged-chr13-60743627-1	chr13	60743548	60743708	+	18.00	NA	intron (NM_134062, intron 19 of 26)	intron (NM_134062, intron 19 of 26)	42736	NM_199148	218275	Mm.222427	NM_199148	ENSMUSG00000042243	BC051665	-	cDNA sequence BC051665	protein-coding
Merged-chr2-149650767-1	chr2	149650664	149650872	+	17.60	NA	Intergenic	Lx3_Mus|LINE|L1	-180015	NM_001363096	433485	Mm.330649	NM_001085521	ENSMUSG00000074736	Syndig1	AW123113|DSPC2|Gm14134|H2C20orf39|Tmem90b	synapse differentiation inducing 1	protein-coding
Merged-chr7-3026158-1	chr7	3026056	3026261	+	17.60	NA	Intergenic	Intergenic	-101988	NR_001583	73949	Mm.55687	NR_001583	ENSMUSG00000107956	Speer9-ps1	4930415A14Rik|SPEER-9|Speer9-ps	spermatogenesis associated glutamate (E)-rich protein 9, pseudogene 1	pseudo
Merged-chr16-73946809-1	chr16	73946704	73946915	+	17.60	NA	intron (NM_175549, intron 17 of 27)	intron (NM_175549, intron 17 of 27)	395258	NR_030464	751561		NR_030464	ENSMUSG00000104758	Mir691	Mirn691|mir-691|mmu-mir-691	microRNA 691	ncRNA
Merged-chr7-119016350-2	chr7	119016156	119016505	+	17.60	NA	Intergenic	Intergenic	-21119	NM_022420	64297	Mm.103439	NM_022420	ENSMUSG00000008734	Gprc5b	AW125761|Raig2	G protein-coupled receptor, family C, group 5, member B	protein-coding
Merged-chr14-36618991-1	chr14	36618894	36619090	+	17.60	NA	Intergenic	Intergenic	300543	NM_001347503	72972	Mm.27621	NM_027045	ENSMUSG00000058690	Ccser2	1700012P13Rik|2900054P12Rik|AI035535|AW108503|Fam190b|Gcap14	coiled-coil serine rich 2	protein-coding
Merged-chr4-62834138-1	chr4	62834061	62834217	+	17.60	NA	Intergenic	MLTR11B|LTR|ERVK	-131428	NM_001369119	72701	Mm.26479	NM_028326	ENSMUSG00000028358	Zfp618	2810031P15Rik|2810040O04Rik|AI415580|AI505139|D430033D05Rik|Nedd10|Znf618|bM257P7.1	zinc finger protein 618	protein-coding
Merged-chr1-128681242-1	chr1	128681148	128681337	+	17.60	NA	Intergenic	(CAGA)n|Simple_repeat|Simple_repeat	-88943	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|CXC-R4|CXCR-4|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
Merged-chr2-138468950-1	chr2	138468799	138469102	+	17.60	NA	Intergenic	Intergenic	190457	NM_145534	228662	Mm.153405	NM_145534	ENSMUSG00000062098	Btbd3	mKIAA0952	BTB (POZ) domain containing 3	protein-coding
Merged-chr4-61852286-1	chr4	61852212	61852362	+	17.47	NA	Intergenic	RLTR45|LTR|ERVK	-17107	NM_008649	17844	Mm.445286	NM_008649	ENSMUSG00000058523	Mup5	Mup18	major urinary protein 5	protein-coding
Merged-chr7-13065377-2	chr7	13065131	13065641	+	17.40	NA	Intergenic	RLTR45|LTR|ERVK	-10622	NM_145819	109889	Mm.10103	NM_145819	ENSMUSG00000030380	Mzf1	Mzf-2|Mzf2|Zfp121|Zfp98|Znf42	myeloid zinc finger 1	protein-coding
Merged-chr10-5594745-1	chr10	5594606	5594886	+	17.20	NA	intron (NM_026793, intron 1 of 1)	intron (NM_026793, intron 1 of 1)	1018	NM_026793	68632	Mm.338242	NM_026793	ENSMUSG00000046916	Myct1	1110020B04Rik|AI225941|AI642973|Mtmc1	myc target 1	protein-coding
Merged-chr15-5355523-1	chr15	5355456	5355591	+	17.20	NA	Intergenic	Intergenic	-111336	NM_001136079	19219	Mm.18509	NM_008965	ENSMUSG00000039942	Ptger4	EP4|Ptgerep4	prostaglandin E receptor 4 (subtype EP4)	protein-coding
Merged-chr3-37617181-2	chr3	37616981	37617400	+	17.20	NA	Intergenic	Intergenic	3277	NR_130163	75947	Mm.109620	NR_130161	ENSMUSG00000085677	4930594O21Rik	-	RIKEN cDNA 4930594O21 gene	ncRNA
Merged-chr1-179069212-2	chr1	179069048	179069355	+	17.20	NA	intron (NM_027188, intron 8 of 11)	intron (NM_027188, intron 8 of 11)	448840	NM_027188	69726	Mm.222338	NM_027188	ENSMUSG00000055067	Smyd3	2410008A19Rik|Zmynd1	SET and MYND domain containing 3	protein-coding
Merged-chr16-45753182-1	chr16	45753056	45753310	+	17.20	NA	intron (NM_001357078, intron 14 of 16)	B2_Mm2|SINE|B2	-10228	NM_001272070	213012	Mm.247453	NM_172511	ENSMUSG00000033157	Abhd10	-	abhydrolase domain containing 10	protein-coding
Merged-chr17-76111895-5	chr17	76111598	76112161	+	17.00	NA	Intergenic	Intergenic	250856	NR_033456	100043885	Mm.127562	NR_033456	ENSMUSG00000117539	Gm4710	-	predicted gene 4710	ncRNA
Merged-chr13-19242012-2	chr13	19241931	19242104	+	16.80	NA	Intergenic	Intergenic	153796	NM_001347485	76205	Mm.41940	NM_024270	ENSMUSG00000003062	Stard3nl	0610035N01Rik|6530409L22Rik|AW124774|MENTHO	STARD3 N-terminal like	protein-coding
Merged-chr10-26533305-2	chr10	26533181	26533429	+	16.80	NA	Intergenic	RLTR45|LTR|ERVK	141346	NR_033633	667572	Mm.482728	NR_033633	ENSMUSG00000098179	Gm8709	EG667572	glyceraldehyde-3-phosphate dehydrogenase pseudogene	pseudo
Merged-chr11-115112306-1	chr11	115112206	115112408	+	16.80	NA	intron (NM_001163753, intron 1 of 8)	intron (NM_001163753, intron 1 of 8)	20876	NM_001163753	58222	Mm.143789	NM_021411	ENSMUSG00000020732	Rab37	B230331O03Rik|B230354I04Rik	RAB37, member RAS oncogene family	protein-coding
Merged-chr9-77127066-1	chr9	77126982	77127151	+	16.80	NA	intron (NM_001368959, intron 9 of 10)	intron (NM_001368959, intron 9 of 10)	-81285	NM_012033	26944	Mm.23199	NM_012033	ENSMUSG00000032357	Tinag	AI452335|TIN-ag	tubulointerstitial nephritis antigen	protein-coding
Merged-chr16-53003462-1	chr16	53003297	53003629	+	16.80	NA	Intergenic	L1_Mus3|LINE|L1	-187719	NR_040495	73820	Mm.60493	NR_040495	ENSMUSG00000116611	4930404A05Rik	-	RIKEN cDNA 4930404A05 gene	ncRNA
Merged-chr1-165757690-1	chr1	165757593	165757789	+	16.80	NA	Intergenic	RLTR31D_MM|LTR|ERVK	-6067	NR_149310	433375	Mm.294885	NM_011804	ENSMUSG00000040713	Creg1	AA755314|Creg	cellular repressor of E1A-stimulated genes 1	protein-coding
Merged-chr17-51257063-1	chr17	51256973	51257154	+	16.80	NA	Intergenic	Intergenic	-20925	NR_037253	100526485		NR_037253	ENSMUSG00000105330	Mir669a-6	mmu-mir-669a-6	microRNA 669a-6	ncRNA
Merged-chr2-128068206-1	chr2	128068073	128068340	+	16.60	NA	intron (NM_028765, intron 14 of 17)	intron (NM_028765, intron 14 of 17)	-57832	NM_207681	12125	Mm.141083	NM_009754	ENSMUSG00000027381	Bcl2l11	1500006F24Rik|Bim|Bod|bcl2-L-11	BCL2-like 11 (apoptosis facilitator)	protein-coding
Merged-chr15-89572370-1	chr15	89572257	89572484	+	16.60	NA	intron (NM_001277245, intron 3 of 4)	intron (NM_001277245, intron 3 of 4)	4044	NM_013455	11434	Mm.57	NM_013455	ENSMUSG00000022622	Acr	-	acrosin prepropeptide	protein-coding
Merged-chr14-51172934-1	chr14	51172863	51173007	+	16.40	NA	Intergenic	Intergenic	10675	NM_019398	54159	Mm.377125	NM_019398	ENSMUSG00000059606	Rnase2b	Ear5|Raf4|mR5	ribonuclease, RNase A family, 2B (liver, eosinophil-derived neurotoxin)	protein-coding
