PeakID (cmd=annotatePeaks.pl /exports/humgen/jihed/Coordinate_TOKEEP/atac_peaks/ATAC_Veronica_DN1/DN1_KO_less_accessible_allvsall.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr10-66162728-1	chr10	66162649	66162809	+	45.00	NA	intron (NR_131070, intron 3 of 4)	L1Md_F2|LINE|L1	17433	NR_131070	77198	Mm.107617	NR_131070	ENSMUSG00000112210	4930407I19Rik	-	RIKEN cDNA 4930407I19 gene	ncRNA
Merged-chr17-13973963-1	chr17	13973872	13974055	+	45.00	NA	Intergenic	Intergenic	25590	NM_001122977	635895	Mm.388844	NM_001122977	ENSMUSG00000067941	Gm7168	EG635895	predicted gene 7168	protein-coding
Merged-chr3-90873092-1	chr3	90873021	90873164	+	42.50	NA	Intergenic	L1_Mus1|LINE|L1	146186	NM_001165968	384997	Mm.316644	NM_207263	ENSMUSG00000042250	Pglyrp4	Gm1478|Gm413	peptidoglycan recognition protein 4	protein-coding
Merged-chr1-41022870-1	chr1	41022801	41022941	+	40.00	NA	Intergenic	RLTR20D|LTR|ERVK	158381	NR_040475	74897	Mm.243822	NR_040475	ENSMUSG00000104072	4930448I06Rik	-	RIKEN cDNA 4930448I06 gene	ncRNA
Merged-chr18-82388836-1	chr18	82388767	82388907	+	40.00	NA	Intergenic	Intergenic	17940	NM_008082	14427	Mm.6219	NM_008082	ENSMUSG00000024553	Galr1	Galnr1	galanin receptor 1	protein-coding
Merged-chr11-69005649-1	chr11	69005577	69005723	+	38.75	NA	intron (NM_001159519, intron 1 of 27)	(CA)n|Simple_repeat|Simple_repeat	2810	NM_001159519	237823	Mm.340288	NM_001159519	ENSMUSG00000020899	Pfas	4432409B16Rik|FGAMS|FGAR-AT|FGARAT|Gm18|PURL|Sofa	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	protein-coding
Merged-chr5-37985836-1	chr5	37985762	37985911	+	37.50	NA	Intergenic	Intergenic	-53394	NM_001359398	71116	Mm.18959	NM_026959	ENSMUSG00000029125	Stx18	1810035L21Rik|4933425D03Rik|AU041562	syntaxin 18	protein-coding
Merged-chr11-77732410-1	chr11	77732349	77732473	+	37.50	NA	Intergenic	MTA_Mm|LTR|ERVL-MaLR	-7118	NM_009965	12957	Mm.22830	NM_009965	ENSMUSG00000000724	Cryba1	BA3/A1|Cryb	crystallin, beta A1	protein-coding
Merged-chr7-60418216-1	chr7	60418116	60418317	+	37.50	NA	intron (NR_146211, intron 1 of 171)	L1Md_F|LINE|L1	31961	NR_146211	52480	Mm.9002	NR_015456	ENSMUSG00000100826	Snhg14	AU018661|C230091D08Rik|D7Ertd715e|Gm42386|Gm42387|Gm42388|Gm42389|Gm42390|Gm42391|Gm45921|Lncat|Pwcr1|U-Ube3a-ATS|Ube3a-ATS|lincRNA-EC50	small nucleolar RNA host gene 14	ncRNA
Merged-chr9-30503019-1	chr9	30502966	30503074	+	37.50	NA	Intergenic	RMER1A|Other|Other	75691	NM_028874	102607	Mm.35084	NM_028874	ENSMUSG00000031993	Snx19	3526401K03Rik|AI195321|AI848208|mKIAA0254	sorting nexin 19	protein-coding
Merged-chr4-21114003-1	chr4	21113915	21114092	+	35.00	NA	Intergenic	Intergenic	-335335	NM_001290410	269513	Mm.317473	NM_172987	ENSMUSG00000055761	Nkain3	C530048M05|E130310K16Rik	Na+/K+ transporting ATPase interacting 3	protein-coding
Merged-chr13-35701638-1	chr13	35701566	35701712	+	35.00	NA	intron (NM_009881, intron 3 of 9)	intron (NM_009881, intron 3 of 9)	-39763	NM_001123386	12593	Mm.29002	NM_009881	ENSMUSG00000059288	Cdyl	AI325931	chromodomain protein, Y chromosome-like	protein-coding
Merged-chr13-50690001-1	chr13	50689908	50690095	+	35.00	NA	Intergenic	L1Md_A|LINE|L1	-8328	NM_001244649	667693	Mm.425810	NM_001244649	ENSMUSG00000094918	Gm8765	EG667693	predicted gene 8765	protein-coding
Merged-chr9-42950594-1	chr9	42950541	42950649	+	35.00	NA	Intergenic	RMER15|LTR|ERVL	-6224	NM_175481	110637	Mm.370291	NM_175481	ENSMUSG00000032017	Grik4	6330551K01Rik|GluK4|GluRgamma1|KA-1|KA1	glutamate receptor, ionotropic, kainate 4	protein-coding
Merged-chr5-102100358-1	chr5	102100302	102100416	+	35.00	NA	Intergenic	Intergenic	-30438	NM_172882	72145	Mm.332522	NM_172882	ENSMUSG00000043940	Wdfy3	2610509D04Rik|ALFY|AW319683|B930017C24|BWF1|Bchs|D5Ertd66e|Ggtb3|ZFYVE25|mKIAA0993	WD repeat and FYVE domain containing 3	protein-coding
Merged-chr3-20888600-1	chr3	20888546	20888655	+	35.00	NA	Intergenic	Lx|LINE|L1	-521423	NM_175086	11608	Mm.134863	NM_175086	ENSMUSG00000054988	Agtr1b	AT1B|AT2R1B|Agtr-1b|Angtr-1b	angiotensin II receptor, type 1b	protein-coding
Merged-chr6-113978276-1	chr6	113978209	113978344	+	35.00	NA	intron (NM_009723, intron 2 of 21)	L1ME4a|LINE|L1	-43595	NM_001347365	11941	Mm.321755	NM_009723	ENSMUSG00000030302	Atp2b2	D6Abb2e|Gena300|PMCA2|Tmy|dfw|jog|wms|wri	ATPase, Ca++ transporting, plasma membrane 2	protein-coding
Merged-chr3-144732265-1	chr3	144732209	144732322	+	35.00	NA	intron (NM_009899, intron 13 of 13)	MTA_Mm|LTR|ERVL-MaLR	-11930	NM_019464	54673	Mm.271775	NM_019464	ENSMUSG00000037062	Sh3glb1	AA409932|AI314629|AU015566|Bif-1|mKIAA0491	SH3-domain GRB2-like B1 (endophilin)	protein-coding
Merged-chr5-29066121-1	chr5	29066066	29066177	+	35.00	NA	Intergenic	URR1B|DNA|hAT-Charlie	-129872	NM_021470	56874	Mm.87352	NM_021470	ENSMUSG00000029130	Rnf32	1700009J01Rik|2700025B22Rik|4930542N22Rik|Lmbr2	ring finger protein 32	protein-coding
Merged-chr9-57477383-1	chr9	57477325	57477443	+	32.50	NA	Intergenic	RLTR1B|LTR|ERV1	-9324	NM_001301635	56807	Mm.102278	NM_020270	ENSMUSG00000040722	Scamp5	Sc5	secretory carrier membrane protein 5	protein-coding
Merged-chr3-38454742-1	chr3	38454664	38454821	+	31.25	NA	intron (NM_001167883, intron 3 of 3)	intron (NM_001167883, intron 3 of 3)	30074	NM_001167883	99696	Mm.290937	NM_001033198	ENSMUSG00000044864	Ankrd50	AI662170|E430012K20Rik|mKIAA1223|mKIAA3019	ankyrin repeat domain 50	protein-coding
Merged-chr3-97371348-1	chr3	97371287	97371410	+	31.25	NA	Intergenic	MTD|LTR|ERVL-MaLR	39831	NM_146275	258272	Mm.377406	NM_146275	ENSMUSG00000051392	Olfr1402	MOR217-1	olfactory receptor 1402	protein-coding
Merged-chr3-98580331-1	chr3	98580267	98580396	+	30.00	NA	Intergenic	Intergenic	-16293	NM_008294	15495	Mm.14309	NM_008294	ENSMUSG00000095143	Hsd3b4	-	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 4	protein-coding
Merged-chr2-71852515-2	chr2	71852422	71852616	+	30.00	NA	intron (NM_001277970, intron 24 of 24)	IAPEY4_LTR|LTR|ERVK	-20705	NM_172665	228026	Mm.34411	NM_172665	ENSMUSG00000006494	Pdk1	B830012B01|D530020C15Rik	pyruvate dehydrogenase kinase, isoenzyme 1	protein-coding
Merged-chr9-105012095-1	chr9	105012008	105012183	+	30.00	NA	intron (NM_028719, intron 11 of 15)	ID4|SINE|ID	-41173	NM_001364513	94062	Mm.29746	NM_053159	ENSMUSG00000032563	Mrpl3	2010320L16Rik|5930422H18Rik|AA407889|L3mt	mitochondrial ribosomal protein L3	protein-coding
Merged-chr3-8811650-1	chr3	8811566	8811736	+	30.00	NA	intron (NM_025434, intron 2 of 2)	L1_Mus3|LINE|L1	112206	NM_025434	66230	Mm.38460	NM_025434	ENSMUSG00000040269	Mrps28	1500012D08Rik|AW061224	mitochondrial ribosomal protein S28	protein-coding
Merged-chr18-60173275-1	chr18	60173170	60173382	+	30.00	NA	Intergenic	L1Md_T|LINE|L1	-38801	NM_001033767	240327	Mm.357104	NM_001033767	ENSMUSG00000073555	Gm4951	EG240327|Ifgga2	predicted gene 4951	protein-coding
Merged-chr18-76408042-1	chr18	76407968	76408117	+	30.00	NA	Intergenic	Intergenic	145597	NM_001311070	17126	Mm.152699	NM_010754	ENSMUSG00000024563	Smad2	7120426M23Rik|Madh2|Madr2|Smad-2|mMad2	SMAD family member 2	protein-coding
Merged-chr5-146527254-1	chr5	146527140	146527369	+	30.00	NA	intron (NM_001243109, intron 3 of 4)	intron (NM_001243109, intron 3 of 4)	1453	NM_001243109	100041554	Mm.460715	NM_001243109	ENSMUSG00000079091	Gm3404	-	predicted gene 3404	protein-coding
Merged-chr9-84170614-1	chr9	84170510	84170720	+	30.00	NA	Intergenic	Lx2|LINE|L1	221834	NM_199195	12040	Mm.12819	NM_199195	ENSMUSG00000032263	Bckdhb	BCKDE1B|BCKDH E1-beta	branched chain ketoacid dehydrogenase E1, beta polypeptide	protein-coding
Merged-chr18-21198160-1	chr18	21198087	21198234	+	27.50	NA	intron (NM_001033445, intron 2 of 5)	intron (NM_001033445, intron 2 of 5)	101979	NM_001033445	381126	Mm.312276	NM_001033445	ENSMUSG00000042680	Garem1	C86169|Fam59a|Garem|Gm944|mKIAA4238	GRB2 associated regulator of MAPK1 subtype 1	protein-coding
Merged-chr11-77416353-1	chr11	77416288	77416420	+	27.50	NA	intron (NM_001291190, intron 4 of 13)	intron (NM_001291190, intron 4 of 13)	-46226	NR_160865	216961	Mm.33477	NM_139128	ENSMUSG00000020836	Coro6	-	coronin 6	protein-coding
Merged-chr7-120059341-1	chr7	120059275	120059408	+	26.25	NA	exon (NM_001370806, exon 18 of 61)	exon (NM_001370806, exon 18 of 61)	35956	NM_001370806	381917	Mm.490012	NM_001370806	ENSMUSG00000052273	Dnah3	BC051401|Dnahc3	dynein, axonemal, heavy chain 3	protein-coding
Merged-chr8-44538082-1	chr8	44537991	44538174	+	26.25	NA	Intergenic	ORR1B1-int|LTR|ERVL-MaLR	-412126	NM_001081286	14107	Mm.27365	NM_001081286	ENSMUSG00000070047	Fat1	2310038E12Rik|AU023433|Fath|mFat1	FAT atypical cadherin 1	protein-coding
Merged-chr7-3324191-1	chr7	3324110	3324274	+	26.25	NA	intron (NM_011102, intron 14 of 17)	intron (NM_011102, intron 14 of 17)	-8633	NM_133189	81904	Mm.214994	NM_133189	ENSMUSG00000069806	Cacng7	-	calcium channel, voltage-dependent, gamma subunit 7	protein-coding
Merged-chr17-30859893-1	chr17	30859835	30859952	+	26.25	NA	intron (NM_013811, intron 91 of 92)	intron (NM_013811, intron 91 of 92)	-41974	NM_021332	14652	Mm.390969	NM_021332	ENSMUSG00000024027	Glp1r	GLP-1R|GLP1Rc	glucagon-like peptide 1 receptor	protein-coding
Merged-chr1-34974954-1	chr1	34974885	34975025	+	25.00	NA	Intergenic	B4|SINE|B4	124966	NM_001357425	226971	Mm.292751	NM_145516	ENSMUSG00000026123	Plekhb2	2310009M15Rik|AU018239|Evt2|Phdc|evt-2	pleckstrin homology domain containing, family B (evectins) member 2	protein-coding
Merged-chr5-14921749-2	chr5	14921589	14921918	+	25.00	NA	Intergenic	Lx2A1|LINE|L1	-6864	NM_198666	381714	Mm.368256	NM_198666	ENSMUSG00000033219	Gm9758	-	predicted gene 9758	protein-coding
Merged-chr12-51312134-1	chr12	51312042	51312228	+	25.00	NA	Intergenic	RLTR6-int|LTR|ERV1	-36095	NM_001167964	217558	Mm.253264	NM_001015099	ENSMUSG00000035293	G2e3	6030408C04Rik|9030416F18|AW046379|D930034K21Rik|mKIAA1333	G2/M-phase specific E3 ubiquitin ligase	protein-coding
Merged-chr5-15672197-1	chr5	15672114	15672281	+	25.00	NA	Intergenic	ORR1A3|LTR|ERVL-MaLR	-8513	NR_001585	75858	Mm.359463	NR_001585	ENSMUSG00000089871	Speer4cos	4930568L21Rik|SPEER-7|Speer7-ps|Speer7-ps1	spermatogenesis associated glutamate (E)-rich protein 4C, opposite strand transcript	pseudo
Merged-chr7-12651848-1	chr7	12651753	12651944	+	25.00	NA	exon (NM_001104645, exon 5 of 5)	exon (NM_001104645, exon 5 of 5)	-15714	NM_001081449	666085	Mm.389810	NM_001081449	ENSMUSG00000096593	Vmn2r54	EG666085|Gm1496|Gm470	vomeronasal 2, receptor 54	protein-coding
Merged-chr16-89636551-1	chr16	89636406	89636698	+	25.00	NA	Intergenic	L1Md_T|LINE|L1	-65369	NM_001113406	16693	Mm.310906	NM_001113406	ENSMUSG00000091212	Krtap11-1	AA162070|AA589467|AV018433|Hacl1|KAP11.1|PRED29	keratin associated protein 11-1	protein-coding
Merged-chr7-46626886-1	chr7	46626810	46626963	+	25.00	NA	intron (NM_013789, intron 4 of 10)	L1Md_A|LINE|L1	12921	NM_013789	27414	Mm.76659	NM_013789	ENSMUSG00000030839	Sergef	DelGEF|Gef|Gnef|Gnefr	secretion regulating guanine nucleotide exchange factor	protein-coding
Merged-chr9-16134654-1	chr9	16134598	16134711	+	25.00	NA	intron (NM_001080814, intron 3 of 25)	(TC)n|Simple_repeat|Simple_repeat	-260098	NM_145712	244701	Mm.222631	NM_145712	ENSMUSG00000050901	Mtnr1b	Mel-1B-R|Mel1b|Mt2	melatonin receptor 1B	protein-coding
Merged-chr9-53620349-1	chr9	53620289	53620411	+	25.00	NA	intron (NM_027807, intron 18 of 18)	RSINE1|SINE|B4	-10000	NM_144784	110446	Mm.293233	NM_144784	ENSMUSG00000032047	Acat1	6330585C21Rik|Acat	acetyl-Coenzyme A acetyltransferase 1	protein-coding
Merged-chr13-50657555-1	chr13	50657492	50657620	+	25.00	NA	Intergenic	Intergenic	14328	NM_001033770	380845	Mm.379403	NM_001033770	ENSMUSG00000096641	Gm904	-	predicted gene 904	protein-coding
Merged-chr2-71844235-1	chr2	71844180	71844291	+	25.00	NA	intron (NM_008397, intron 20 of 25)	ID_B1|SINE|B4	-28989	NM_172665	228026	Mm.34411	NM_172665	ENSMUSG00000006494	Pdk1	B830012B01|D530020C15Rik	pyruvate dehydrogenase kinase, isoenzyme 1	protein-coding
Merged-chr2-28314140-1	chr2	28314085	28314196	+	25.00	NA	Intergenic	Intergenic	108451	NM_019498	56177	Mm.43278	NM_019498	ENSMUSG00000026833	Olfm1	AMY|AW742568|Noe1|OlfA|Pancortin|Pancortin3	olfactomedin 1	protein-coding
Merged-chr9-31844900-3	chr9	31844677	31845268	+	23.57	NA	Intergenic	Intergenic	68313	NM_013800	12023	Mm.261044	NM_013800	ENSMUSG00000032033	Barx2	2310006E12Rik|Barx2b	BarH-like homeobox 2	protein-coding
Merged-chr16-15391136-1	chr16	15391054	15391219	+	22.50	NA	Intergenic	Intergenic	203382	NM_023585	70620	Mm.235407	NM_023585	ENSMUSG00000022674	Ube2v2	1110021H13Rik|4632410D19Rik|5730524P06Rik|6820402M05|AI848315|C81524|MMS2	ubiquitin-conjugating enzyme E2 variant 2	protein-coding
Merged-chr13-13290917-1	chr13	13290850	13290985	+	22.50	NA	Intergenic	L1Md_F2|LINE|L1	102707	NM_031999	83924	Mm.379269	NM_031999	ENSMUSG00000021306	Gpr137b	AI788917|AU016435|AW546472|C730041E01|C80550|C80741|D13Abb1e|Tm7sf1	G protein-coupled receptor 137B	protein-coding
Merged-chr4-131619722-1	chr4	131619626	131619820	+	22.50	NA	Intergenic	Intergenic	218555	NM_011214	19273	Mm.4860	NM_011214	ENSMUSG00000028909	Ptpru	Ftp-1|PCP-2|PTP|PTP-lambda|PTPlambda|Pcp2|Ptpf|Ptprl|R-PTP-U|R-PTP-psi|RPTPlambda	protein tyrosine phosphatase, receptor type, U	protein-coding
Merged-chr10-119490619-1	chr10	119490491	119490748	+	22.50	NA	intron (NM_133442, intron 1 of 21)	intron (NM_133442, intron 1 of 21)	36585	NM_001277292	74053	Mm.196692	NM_028736	ENSMUSG00000034813	Grip1	4931400F03Rik|GRIP|eb	glutamate receptor interacting protein 1	protein-coding
Merged-chr13-101188814-1	chr13	101188754	101188876	+	22.50	NA	Intergenic	Intergenic	-43312	NR_046158	328324	Mm.402274	NR_046158	ENSMUSG00000114590	5930438M14Rik	5930438M14	RIKEN cDNA 5930438M14 gene	ncRNA
Merged-chr8-110393926-1	chr8	110393862	110393991	+	21.25	NA	intron (NM_172916, intron 12 of 86)	intron (NM_172916, intron 12 of 86)	108430	NR_105058	100861869	Mm.84499	NR_105058		Gm21283	-	predicted gene, 21283	ncRNA
Merged-chr12-3162266-1	chr12	3162211	3162323	+	21.25	NA	Intergenic	Intergenic	-73524	NR_015551	74173	Mm.309774	NM_028796	ENSMUSG00000079179	Rab10os	1700012B15Rik|1810036A22Rik	RAB10, member RAS oncogene family, opposite strand	ncRNA
Merged-chr11-87772577-1	chr11	87772433	87772723	+	21.25	NA	intron (NM_172449, intron 16 of 31)	intron (NM_172449, intron 16 of 31)	12037	NM_172449	207777	Mm.342019	NM_172449	ENSMUSG00000034156	Tspoap1	Bzrap1|D230016K05|PRAX-1|mKIAA0612	TSPO associated protein 1	protein-coding
Merged-chr11-52508881-1	chr11	52508807	52508956	+	20.83	NA	Intergenic	Intergenic	112453	NM_153117	213673	Mm.291979	NM_153117	ENSMUSG00000036275	9530068E07Rik	C85061|Kct2	RIKEN cDNA 9530068E07 gene	protein-coding
Merged-chr9-89270457-1	chr9	89270330	89270586	+	20.62	NA	Intergenic	Intergenic	59074	NM_001359993	107885	Mm.486274	NM_026829	ENSMUSG00000066442	Mthfs	1110034I12Rik|2310020H23Rik|AI119695	5, 10-methenyltetrahydrofolate synthetase	protein-coding
Merged-chr6-87950385-1	chr6	87950296	87950476	+	20.00	NA	Intergenic	RLTR10-int|LTR|ERVK	31096	NM_198622	243529	Mm.33796	NM_198622	ENSMUSG00000044927	H1fx	Gm461|H1.10|H1X	H1 histone family, member X	protein-coding
Merged-chr4-137402202-1	chr4	137402094	137402311	+	20.00	NA	intron (NM_001126318, intron 7 of 7)	intron (NM_001126318, intron 7 of 7)	7589	NM_001126318	242711	Mm.475541	NM_001126318	ENSMUSG00000078520	Cela3a	Gm13011	chymotrypsin-like elastase family, member 3A	protein-coding
Merged-chr19-4787568-1	chr19	4787498	4787639	+	20.00	NA	exon (NM_001290127, exon 3 of 4)	exon (NM_001290127, exon 3 of 4)	6333	NM_001290125	19653	Mm.426069	NM_009032	ENSMUSG00000094936	Rbm4	4921506I22Rik|Lark1|Mlark|Rbm4a|lark	RNA binding motif protein 4	protein-coding
Merged-chr11-58392661-1	chr11	58392565	58392759	+	20.00	NA	Intergenic	B3A|SINE|B2	12016	NM_001330197	70163	Mm.24119	NM_027339	ENSMUSG00000013643	Lypd8	2210415F13Rik	LY6/PLAUR domain containing 8	protein-coding
Merged-chr17-8009795-2	chr17	8009641	8009968	+	20.00	NA	Intergenic	Intergenic	64190	NM_025789	66832	Mm.29830	NM_025789	ENSMUSG00000073471	Rsph3a	1700012G05Rik|4930524H12Rik|R74860|Rshl2|Rshl2a	radial spoke 3A homolog (Chlamydomonas)	protein-coding
Merged-chr4-59452537-1	chr4	59452472	59452604	+	20.00	NA	Intergenic	ORR1B1|LTR|ERVL-MaLR	-13905	NM_001163288	634731	Mm.483589	NM_001163288	ENSMUSG00000038578	Susd1	A530080P10|Gm12528	sushi domain containing 1	protein-coding
Merged-chr4-8758954-1	chr4	8758892	8759017	+	20.00	NA	intron (NM_001277149, intron 2 of 37)	intron (NM_001277149, intron 2 of 37)	7630	NM_001355382	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
Merged-chr11-54181119-1	chr11	54181052	54181187	+	20.00	NA	intron (NR_045506, intron 2 of 2)	L1_Mus1|LINE|L1	32169	NR_045506	71056	Mm.56332	NR_045506	ENSMUSG00000086209	4933405E24Rik	-	RIKEN cDNA 4933405E24 gene	ncRNA
Merged-chr15-53783638-1	chr15	53783575	53783703	+	20.00	NA	intron (NM_177225, intron 2 of 4)	intron (NM_177225, intron 2 of 4)	118797	NM_177225	320679	Mm.442455	NM_177225	ENSMUSG00000058656	Samd12	A830094I09Rik	sterile alpha motif domain containing 12	protein-coding
Merged-chr12-23174210-1	chr12	23174148	23174273	+	20.00	NA	Intergenic	Intergenic	-163967	NR_015504	69732	Mm.391403	NM_028362	ENSMUSG00000073164	2410018L13Rik	2810480C08Rik	RIKEN cDNA 2410018L13 gene	ncRNA
Merged-chr16-24182572-1	chr16	24182497	24182649	+	20.00	NA	Intergenic	URR1A|DNA|hAT-Charlie	-99883	NR_155457	108168278	Mm.417246	NR_155457		Gm46545	-	predicted gene, 46545	ncRNA
Merged-chr3-110601751-1	chr3	110601696	110601808	+	20.00	NA	Intergenic	Lx3A|LINE|L1	-350753	NR_024139	99890	Mm.36115	NM_178891	ENSMUSG00000049300	Prmt6	AW124876|BB233495|Hrmt1l6	protein arginine N-methyltransferase 6	protein-coding
Merged-chr3-127772130-2	chr3	127772011	127772231	+	20.00	NA	intron (NM_027808, intron 1 of 13)	L1Md_A|LINE|L1	8406	NM_027808	71481	Mm.158704	NM_027808	ENSMUSG00000028028	Alpk1	8430410J10Rik|LAK	alpha-kinase 1	protein-coding
Merged-chr18-5575190-1	chr18	5575132	5575250	+	20.00	NA	intron (NR_033552, intron 3 of 6)	L1Md_F2|LINE|L1	-16669	NM_011546	21417	Mm.3929	NM_011546	ENSMUSG00000024238	Zeb1	3110032K11Rik|AREB6|BZP|MEB1|Nil2|TCF-8|Tcf18|Tcf8|Tw|ZEB|Zfhep|Zfhx1a|Zfx1a|Zfx1ha|[delta]EF1	zinc finger E-box binding homeobox 1	protein-coding
Merged-chr3-84211442-1	chr3	84211349	84211536	+	20.00	NA	intron (NM_001271726, intron 1 of 11)	GA-rich|Low_complexity|Low_complexity	1396	NM_001271728	80890	Mm.44876	NM_030706	ENSMUSG00000027993	Trim2	mKIAA0517|narf	tripartite motif-containing 2	protein-coding
Merged-chr8-20638089-2	chr8	20637834	20638281	+	20.00	NA	intron (NM_001270553, intron 8 of 9)	intron (NM_001270553, intron 8 of 9)	23130	NM_001270553	100861668	Mm.491087	NM_001270553	ENSMUSG00000095294	Gm21119	-	predicted gene, 21119	protein-coding
Merged-chr1-184474541-1	chr1	184474436	184474648	+	20.00	NA	Intergenic	Intergenic	83149	NR_040472	73590	Mm.82792	NR_040472	ENSMUSG00000101574	1700112H15Rik	-	RIKEN cDNA 1700112H15 gene	ncRNA
Merged-chr4-9828289-1	chr4	9828109	9828470	+	20.00	NA	Intergenic	Intergenic	-16083	NM_013526	242316	Mm.302555	NM_013526	ENSMUSG00000051279	Gdf6	BMP-13|BMP13|GDF16	growth differentiation factor 6	protein-coding
Merged-chr10-22384711-1	chr10	22384654	22384770	+	20.00	NA	Intergenic	Intergenic	-18101	NR_028580	100038752	Mm.392859	NR_028580	ENSMUSG00000096937	Gm10825	-	predicted gene 10825	ncRNA
Merged-chr13-8692080-1	chr13	8692024	8692138	+	20.00	NA	intron (NM_052977, intron 4 of 9)	intron (NM_052977, intron 4 of 9)	178963	NM_001039389	207615	Mm.284654	NM_172445	ENSMUSG00000021147	Wdr37	-	WD repeat domain 37	protein-coding
Merged-chr4-60115841-1	chr4	60115749	60115934	+	20.00	NA	intron (NM_001200004, intron 3 of 6)	MMERVK10C-int|LTR|ERVK	24015	NM_008647	17841	Mm.335875	NM_008647	ENSMUSG00000078688	Mup2	AA589603|Mup-2|Mup18|Mup4	major urinary protein 2	protein-coding
Merged-chr4-90319139-1	chr4	90319059	90319221	+	20.00	NA	Intergenic	MERVL-int|LTR|ERVL	42174	NR_033610	619842	Mm.484218	NR_033610	ENSMUSG00000080756	Gm12633	-	zinc finger protein 352 pseudogene	pseudo
