PeakID (cmd=annotatePeaks.pl Tcf7_less_coordinates.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
181	chr8	26621814	26622039	+	0	NA	Intergenic	Intergenic	202497	NR_045904	72316	Mm.490534	NR_045904	ENSMUSG00000100335	2310008N11Rik	-	RIKEN cDNA 2310008N11 gene	ncRNA
69	chr14	69040144	69040433	+	0	NA	3' UTR (NM_009285, exon 4 of 4)	3' UTR (NM_009285, exon 4 of 4)	10999	NM_009285	20855	Mm.20911	NM_009285	ENSMUSG00000014813	Stc1	Stc	stanniocalcin 1	protein-coding
98	chr18	11048454	11048639	+	0	NA	intron (NR_105023, intron 3 of 5)	CpG	-3964	NM_010258	14465	Mm.329287	NM_010258	ENSMUSG00000005836	Gata6	AA410133|GATA-6	GATA binding protein 6	protein-coding
149	chr4	59844902	59845124	+	0	NA	intron (NM_172468, intron 1 of 8)	intron (NM_172468, intron 1 of 8)	39363	NM_172468	209131	Mm.259705	NM_172468	ENSMUSG00000028385	Snx30	4732481H14Rik|C030041J06Rik	sorting nexin family member 30	protein-coding
38	chr12	116181410	116181827	+	0	NA	Intergenic	Intergenic	81407	NM_146039	217935	Mm.31382	NM_146039	ENSMUSG00000042050	Wdr60	D430033N04Rik	WD repeat domain 60	protein-coding
105	chr18	24304286	24304485	+	0	NA	Intergenic	RMER1B|Other|Other	-34981	NR_152129	328919	Mm.118671	NR_152129	ENSMUSG00000117570	Gm38410	9530053H22	predicted gene, 38410	ncRNA
183	chr8	114448545	114448954	+	0	NA	intron (NM_019573, intron 4 of 8)	intron (NM_019573, intron 4 of 8)	9097	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
43	chr12	45083059	45083283	+	0	NA	Intergenic	Intergenic	-8688	NM_144552	217517	Mm.285400	NM_144552	ENSMUSG00000046314	Stxbp6	BC024598|C85317	syntaxin binding protein 6 (amisyn)	protein-coding
86	chr17	87766108	87766306	+	0	NA	intron (NM_199251, intron 1 of 1)	MER90|LTR|ERV1	31787	NM_199251	210741	Mm.312046	NM_199251	ENSMUSG00000050138	Kcnk12	mntk1	potassium channel, subfamily K, member 12	protein-coding
4	chr1	94042295	94042544	+	0	NA	intron (NM_008798, intron 1 of 4)	intron (NM_008798, intron 1 of 4)	10134	NM_008798	18566	Mm.5024	NM_008798	ENSMUSG00000026285	Pdcd1	Ly101|PD-1|Pdc1	programmed cell death 1	protein-coding
166	chr6	88329745	88330263	+	0	NA	intron (NR_149744, intron 3 of 5)	intron (NR_149744, intron 3 of 5)	107736	NM_019964	56691	Mm.272871	NM_019964	ENSMUSG00000048206	Dnajb8	1700016F14Rik|1700031F10Rik|AI326313|mDj6	DnaJ heat shock protein family (Hsp40) member B8	protein-coding
101	chr18	74626250	74626507	+	0	NA	intron (NM_201600, intron 6 of 38)	intron (NM_201600, intron 6 of 38)	-95254	NR_045368	73606	Mm.444734	NR_045368		1700120E14Rik	-	RIKEN cDNA 1700120E14 gene	ncRNA
85	chr17	57311847	57312044	+	0	NA	intron (NM_011691, intron 23 of 26)	intron (NM_011691, intron 23 of 26)	32845	NM_001163816	22324	Mm.248172	NM_011691	ENSMUSG00000034116	Vav1	Vav|vav-T	vav 1 oncogene	protein-coding
79	chr16	4414275	4414639	+	0	NA	intron (NM_009624, intron 2 of 10)	intron (NM_009624, intron 2 of 10)	6041	NM_009624	11515	Mm.439750	NM_009624	ENSMUSG00000005580	Adcy9	AC9|ACtp10|AW125421|D16Wsu65e|mKIAA0520	adenylate cyclase 9	protein-coding
104	chr18	21152272	21152480	+	0	NA	intron (NM_001033445, intron 3 of 5)	intron (NM_001033445, intron 3 of 5)	80032	NM_008586	17288	Mm.2682	NM_008586	ENSMUSG00000024313	Mep1b	Mep-1b	meprin 1 beta	protein-coding
84	chr17	66878185	66878395	+	0	NA	intron (NM_008984, intron 14 of 30)	intron (NM_008984, intron 14 of 30)	147945	NR_049205	100885844		NR_049205	ENSMUSG00000093508	Mir5709	Gm22041|mir-5709|mmu-mir-5709	microRNA 5709	ncRNA
22	chr10	81464414	81464664	+	0	NA	intron (NM_176954, intron 9 of 11)	CpG-1367	8592	NM_001311127	319586	Mm.152689	NM_176954	ENSMUSG00000034818	Celf5	4930565A21Rik|Brunol5	CUGBP, Elav-like family member 5	protein-coding
123	chr2	93191373	93191560	+	0	NA	intron (NM_001356535, intron 2 of 8)	intron (NM_001356535, intron 2 of 8)	3918	NM_001356537	277414	Mm.41033	NM_001025246	ENSMUSG00000068735	Trp53i11	Tp53i11	transformation related protein 53 inducible protein 11	protein-coding
96	chr17	10049463	10049860	+	0	NA	Intergenic	Intergenic	269700	NM_001159517	19317	Mm.130694	NM_021881	ENSMUSG00000062078	Qk	1110003F05Rik|1500005P18|QkI|l(17)-1Wis|l17Wis1	quaking	protein-coding
113	chr2	11635965	11636374	+	0	NA	Intergenic	Intergenic	-6623	NM_008367	16184	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding
174	chr7	130323781	130324031	+	0	NA	Intergenic	ORR1G|LTR|ERVL-MaLR	-57098	NM_010207	14183	Mm.16340	NM_010207	ENSMUSG00000030849	Fgfr2	AU043015|AW556123|Bek|Fgfr-2|Fgfr-7|Fgfr7|KGFR|KGFRTr|svs	fibroblast growth factor receptor 2	protein-coding
136	chr3	81774370	81774571	+	0	NA	Intergenic	Intergenic	-27555	NR_138586	320566	Mm.208417	NR_138586	ENSMUSG00000103695	A830029E22Rik	-	RIKEN cDNA A830029E22 gene	ncRNA
19	chr10	26358673	26359172	+	0	NA	intron (NM_172787, intron 1 of 21)	intron (NM_172787, intron 1 of 21)	15150	NM_001359255	237339	Mm.338439	NM_172787	ENSMUSG00000039089	L3mbtl3	AI481284|MBT-1	L3MBTL3 histone methyl-lysine binding protein	protein-coding
31	chr11	22906666	22906933	+	0	NA	intron (NM_001361661, intron 2 of 2)	intron (NM_001361661, intron 2 of 2)	-46463	NM_001169114	53625	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
21	chr10	76315999	76316218	+	0	NA	intron (NM_001081419, intron 5 of 37)	intron (NM_001081419, intron 5 of 37)	29183	NM_001081419	64451	Mm.33183	NM_001081419	ENSMUSG00000020231	Dip2a	4931420H10Rik|AI426328|Dip2|Kiaa0184-hp|mKIAA0184	disco interacting protein 2 homolog A	protein-coding
9	chr1	94042295	94042544	+	0	NA	intron (NM_008798, intron 1 of 4)	intron (NM_008798, intron 1 of 4)	10134	NM_008798	18566	Mm.5024	NM_008798	ENSMUSG00000026285	Pdcd1	Ly101|PD-1|Pdc1	programmed cell death 1	protein-coding
80	chr16	18148327	18148812	+	0	NA	intron (NM_022982, intron 1 of 1)	intron (NM_022982, intron 1 of 1)	16601	NR_105785	102465189		NR_105785	ENSMUSG00000099293	Mir6366	Gm27720|mmu-mir-6366	microRNA 6366	ncRNA
66	chr14	30106673	30106955	+	0	NA	intron (NM_001083616, intron 21 of 46)	intron (NM_001083616, intron 21 of 46)	84181	NM_175343	218865	Mm.259916	NM_172264	ENSMUSG00000015970	Chdh	AU041472|D630034H06Rik	choline dehydrogenase	protein-coding
93	chr17	67517420	67517671	+	0	NA	Intergenic	RMER5|LTR|ERV1	111787	NR_155516	102640031	Mm.421441	NR_155516	ENSMUSG00000117029	Gm36201	-	predicted gene, 36201	ncRNA
138	chr3	152958446	152958744	+	0	NA	intron (NM_012028, intron 2 of 4)	intron (NM_012028, intron 2 of 4)	23615	NM_012028	26938	Mm.40915	NM_012028	ENSMUSG00000039037	St6galnac5	AI851940|Siat7e	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	protein-coding
188	chr8	82982852	82983266	+	0	NA	intron (NM_177378, intron 1 of 6)	intron (NM_177378, intron 1 of 6)	119703	NM_177378	330812	Mm.491438	NM_177378	ENSMUSG00000047747	Rnf150	A630007N06Rik|C030044C12Rik|Greul5|mKIAA1214	ring finger protein 150	protein-coding
185	chr8	104042354	104042853	+	0	NA	Intergenic	Intergenic	-59022	NM_009868	12562	Mm.21767	NM_009868	ENSMUSG00000031871	Cdh5	7B4|AA408225|Cd144|VE-Cad|VECD|VEcad|Vec	cadherin 5	protein-coding
18	chr10	7630879	7631178	+	0	NA	intron (NM_001358647, intron 6 of 6)	intron (NM_001358647, intron 6 of 6)	-32343	NR_030698	320642	Mm.398806	NR_030698		A630066F11Rik	-	RIKEN cDNA A630066F11 gene	ncRNA
158	chr5	100338540	100338735	+	0	NA	Intergenic	Intergenic	36267	NR_152163	545785		NR_152163		Gm45913	-	predicted gene, 45913	ncRNA
15	chr1	33756895	33757074	+	0	NA	intron (NM_145392, intron 1 of 2)	intron (NM_145392, intron 1 of 2)	766	NM_145392	213539	Mm.247037	NM_145392	ENSMUSG00000042215	Bag2	2610042A13Rik|BC016230	BCL2-associated athanogene 2	protein-coding
130	chr2	93036110	93036493	+	0	NA	intron (NM_001177536, intron 1 of 6)	intron (NM_001177536, intron 1 of 6)	6953	NR_110333	433456	Mm.235231	NM_001002794	ENSMUSG00000075027	4631405J19Rik	-	RIKEN cDNA 4631405J19 gene	ncRNA
124	chr2	144245481	144245863	+	0	NA	Intergenic	Intergenic	20530	NR_030762	100313519	Mm.453538	NR_030762	ENSMUSG00000077714	Snord17	MBI-43	small nucleolar RNA, C/D box 17	snoRNA
112	chr19	21335668	21336125	+	0	NA	Intergenic	RCHARR1|DNA|hAT-Charlie	63618	NM_009551	22682	Mm.292405	NM_009551	ENSMUSG00000024750	Zfand5	2310057A04Rik|5830475F03Rik|AA415485|Za20d2|Zfp216	zinc finger, AN1-type domain 5	protein-coding
76	chr16	30174076	30174262	+	0	NA	Intergenic	Intergenic	93363	NM_027904	71756	Mm.290614	NM_027904	ENSMUSG00000023176	Cpn2	1300018K11Rik	carboxypeptidase N, polypeptide 2	protein-coding
62	chr14	46682911	46683241	+	0	NA	Intergenic	Intergenic	-9301	NR_131909	328385	Mm.271545	NR_131909	ENSMUSG00000115015	D330046F09Rik	Gm808	RIKEN cDNA D330046F09 gene	ncRNA
41	chr12	45083059	45083283	+	0	NA	Intergenic	Intergenic	-8688	NM_144552	217517	Mm.285400	NM_144552	ENSMUSG00000046314	Stxbp6	BC024598|C85317	syntaxin binding protein 6 (amisyn)	protein-coding
162	chr6	37916092	37916474	+	0	NA	intron (NM_001272064, intron 4 of 18)	RLTR33|LTR|ERVK	15796	NM_001272076	21848	Mm.41063	NM_145076	ENSMUSG00000029833	Trim24	A130082H20Rik|AI447469|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
102	chr18	4793337	4793606	+	0	NA	Intergenic	RLTR20B4_MM|LTR|ERVK	-19015	NR_045881	100038439	Mm.387569	NR_045881	ENSMUSG00000097043	Gm10556	-	predicted gene 10556	ncRNA
42	chr12	45083059	45083283	+	0	NA	Intergenic	Intergenic	-8688	NM_144552	217517	Mm.285400	NM_144552	ENSMUSG00000046314	Stxbp6	BC024598|C85317	syntaxin binding protein 6 (amisyn)	protein-coding
51	chr13	46397314	46397483	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-20902	NM_001081425	666794	Mm.38269	NM_001081425	ENSMUSG00000038132	Rbm24	6330546B05Rik|AI606861	RNA binding motif protein 24	protein-coding
29	chr11	21644358	21644636	+	0	NA	intron (NM_001364768, intron 1 of 16)	intron (NM_001364768, intron 1 of 16)	72216	NM_145425	216560	Mm.138090	NM_145425	ENSMUSG00000020319	Wdpcp	AV249152|Frtz|homolog-13	WD repeat containing planar cell polarity effector	protein-coding
27	chr11	60703607	60703820	+	0	NA	intron (NM_001159404, intron 2 of 20)	intron (NM_001159404, intron 2 of 20)	4023	NM_008502	16897	Mm.285453	NM_008502	ENSMUSG00000020536	Llgl1	AI325176|Lgl1|Llglh|Mgl1	LLGL1 scribble cell polarity complex component	protein-coding
156	chr5	105345545	105346598	+	0	NA	intron (NM_001039647, intron 1 of 10)	intron (NM_001039647, intron 1 of 10)	401	NM_001039647	634650	Mm.458435	NM_001039647	ENSMUSG00000092021	Gbp11	EG634650|Gm7141	guanylate binding protein 11	protein-coding
57	chr13	46397314	46397483	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-20902	NM_001081425	666794	Mm.38269	NM_001081425	ENSMUSG00000038132	Rbm24	6330546B05Rik|AI606861	RNA binding motif protein 24	protein-coding
99	chr18	4182757	4183077	+	0	NA	TTS (NM_026092)	TTS (NM_026092)	17085	NM_026092	67328	Mm.158148	NM_026092	ENSMUSG00000024233	Lyzl1	1700038F02Rik|Lyc2|Lyzd1	lysozyme-like 1	protein-coding
163	chr6	126767492	126767784	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-26964	NM_013568	16494	Mm.62535	NM_013568	ENSMUSG00000038077	Kcna6	Kv1.6|MK1.6	potassium voltage-gated channel, shaker-related, subfamily, member 6	protein-coding
159	chr5	105236016	105236291	+	0	NA	5' UTR (NM_001039646, exon 2 of 11)	5' UTR (NM_001039646, exon 2 of 11)	3380	NM_001039646	626578	Mm.275893	NM_001039646	ENSMUSG00000105096	Gbp10	-	guanylate-binding protein 10	protein-coding
173	chr7	66446198	66446412	+	0	NA	Intergenic	Intergenic	-18828	NM_053080	56847	Mm.140988	NM_053080	ENSMUSG00000015134	Aldh1a3	ALDH6|RALDH3|V1	aldehyde dehydrogenase family 1, subfamily A3	protein-coding
139	chr3	9942667	9942857	+	0	NA	Intergenic	Intergenic	-69823	NM_001272097	16592	Mm.741	NM_010634	ENSMUSG00000027533	Fabp5	E-FABP|Fabpe|Klbp|PA-FABP|mal1	fatty acid binding protein 5, epidermal	protein-coding
75	chr16	4181393	4181569	+	0	NA	intron (NM_001025432, intron 1 of 30)	intron (NM_001025432, intron 1 of 30)	31923	NM_001025432	12914	Mm.132238	NM_001025432	ENSMUSG00000022521	Crebbp	AW558298|CBP|CBP/p300|KAT3A|p300/CBP	CREB binding protein	protein-coding
128	chr2	45629802	45629992	+	0	NA	Intergenic	Intergenic	-66708	NR_040497	69405	Mm.396184	NR_040497	ENSMUSG00000086202	1700019E08Rik	-	RIKEN cDNA 1700019E08 gene	ncRNA
56	chr13	112779865	112780206	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-20742	NM_008903	19012	Mm.291029	NM_008247	ENSMUSG00000021759	Plpp1	Hic53|Hpic53|LPP-1|LPP1|PAP-2a|PAP2-alpha|PAP2a|Ppap2a|mPAP	phospholipid phosphatase 1	protein-coding
125	chr2	178691910	178692232	+	0	NA	Intergenic	Intergenic	261556	NM_001291189	381409	Mm.330860	NM_198656	ENSMUSG00000039155	Cdh26	Gm1010	cadherin-like 26	protein-coding
1	chr1	38363462	38363719	+	0	NA	intron (NM_001290814, intron 5 of 21)	intron (NM_001290814, intron 5 of 21)	231507	NR_151587	329123	Mm.207123	NR_151587	ENSMUSG00000102716	Gm5099	EG329123	predicted gene 5099	ncRNA
190	chr8	108847496	108847674	+	0	NA	intron (NM_007496, intron 3 of 9)	intron (NM_007496, intron 3 of 9)	-89275	NR_037295	100526511		NR_037295	ENSMUSG00000093241	Mir3108	mir-3108|mmu-mir-3108	microRNA 3108	ncRNA
5	chr1	191853607	191853788	+	0	NA	Intergenic	RMER19B|LTR|ERVK	32224	NM_010892	18005	Mm.33773	NM_010892	ENSMUSG00000026622	Nek2	AA617254|C77054	NIMA (never in mitosis gene a)-related expressed kinase 2	protein-coding
59	chr14	32069647	32069812	+	0	NA	Intergenic	MLT1H1|LTR|ERVL-MaLR	15557	NR_104305	105638	Mm.2519	NM_172254	ENSMUSG00000021905	Dph3	DELGIP1|DelgipP1|Desr1|KTI11|Zcsl2	diphthamine biosynthesis 3	protein-coding
33	chr11	119692914	119693157	+	0	NA	intron (NM_001306081, intron 3 of 32)	intron (NM_001306081, intron 3 of 32)	90130	NM_001306081	74370	Mm.209933	NM_028898	ENSMUSG00000025583	Rptor	4932417H02Rik|Rap|Raptor|mKIAA1303	regulatory associated protein of MTOR, complex 1	protein-coding
48	chr13	28664411	28664581	+	0	NA	intron (NR_045054, intron 5 of 7)	MTE2b|LTR|ERVL-MaLR	46377	NR_105787	102466635		NR_105787	ENSMUSG00000099158	Mir6368	Gm27800|mmu-mir-6368	microRNA 6368	ncRNA
16	chr1	130550880	130551171	+	0	NA	Intergenic	Intergenic	78581	NM_009581	22789	Mm.4644	NM_009581	ENSMUSG00000042554	Zp3r	AV264399|SP56	zona pellucida 3 receptor	protein-coding
178	chr7	132712274	132712691	+	0	NA	3' UTR (NM_001347630, exon 4 of 4)	3' UTR (NM_001347630, exon 4 of 4)	64434	NM_001347630	77938	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding
191	chr9	21826582	21826763	+	0	NA	intron (NM_177030, intron 23 of 49)	PB1D10|SINE|Alu	-8838	NM_001080940	624219	Mm.440264	NM_001080940	ENSMUSG00000047822	Angptl8	EG624219|Gm6484|Rifl	angiopoietin-like 8	protein-coding
83	chr17	63012063	63012645	+	0	NA	Intergenic	Intergenic	-131037	NM_010109	13640	Mm.7978	NM_010109	ENSMUSG00000048915	Efna5	AL-1|AV158822|EFL-5|Ephrin-A5|Epl7|LERK-7|RAGS	ephrin A5	protein-coding
120	chr2	27366875	27367116	+	0	NA	intron (NR_133905, intron 1 of 29)	intron (NR_133905, intron 1 of 29)	60613	NR_133905	22325	Mm.179011	NM_009500	ENSMUSG00000009621	Vav2	2810040F13Rik|AI847175|Vav-2	vav 2 oncogene	protein-coding
182	chr8	79514806	79514969	+	0	NA	Intergenic	Intergenic	-115459	NM_008539	17125	Mm.223717	NM_008539	ENSMUSG00000031681	Smad1	AI528653|Mad1|Madh1|Madr1|Mlp1|MusMLP|dwf-A|mMad1	SMAD family member 1	protein-coding
135	chr3	19169895	19170070	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-6887	NM_028840	74252	Mm.200383	NM_028840	ENSMUSG00000027599	Armc1	2310016N05Rik|2900046P06Rik|3110009G21Rik|AA409258|AW048872|Arcp|C330014L16Rik	armadillo repeat containing 1	protein-coding
155	chr5	36869854	36870049	+	0	NA	intron (NM_001360003, intron 1 of 8)	CpG	1441	NM_172994	269643	Mm.41694	NM_172994	ENSMUSG00000029120	Ppp2r2c	6330548O06Rik|IMYPNO|IMYPNO1|PR52	protein phosphatase 2, regulatory subunit B, gamma	protein-coding
193	chr9	62726596	62726759	+	0	NA	intron (NM_176922, intron 2 of 29)	intron (NM_176922, intron 2 of 29)	48822	NM_176922	319480	Mm.34883	NM_176922	ENSMUSG00000032243	Itga11	4732459H24Rik	integrin alpha 11	protein-coding
92	chr17	31580790	31581068	+	0	NA	intron (NM_016670, intron 1 of 10)	PB1D9|SINE|Alu	16156	NR_027493	18771	Mm.259295	NM_016670	ENSMUSG00000006705	Pknox1	D17Wsu76e|PREP1	Pbx/knotted 1 homeobox	protein-coding
68	chr14	25869285	25869498	+	0	NA	intron (NM_013469, intron 2 of 14)	intron (NM_013469, intron 2 of 14)	27236	NM_013469	11744	Mm.294083	NM_013469	ENSMUSG00000021866	Anxa11	A830099O17Rik|Anx11	annexin A11	protein-coding
64	chr14	75909340	75909551	+	0	NA	intron (NM_026816, intron 6 of 7)	intron (NM_026816, intron 6 of 7)	-45558	NM_026214	67516	Mm.390712	NM_026214	ENSMUSG00000046523	Kctd4	2210017A09Rik|AU017169	potassium channel tetramerisation domain containing 4	protein-coding
118	chr2	13727248	13727452	+	0	NA	intron (NM_145838, intron 2 of 7)	intron (NM_145838, intron 2 of 7)	66170	NM_145838	241230	Mm.330004	NM_145838	ENSMUSG00000003418	St8sia6	1700007J08Rik|AI314453|AI875066|ST8SiaVI|Siat8f	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding
152	chr5	88499845	88500124	+	0	NA	intron (NM_017468, intron 9 of 9)	intron (NM_017468, intron 9 of 9)	12009	NM_017468	13801	Mm.8014	NM_017468	ENSMUSG00000029286	Enam	abte	enamelin	protein-coding
119	chr2	26493331	26493690	+	0	NA	intron (NM_008714, intron 2 of 33)	intron (NM_008714, intron 2 of 33)	10312	NM_008714	18128	Mm.290610	NM_008714	ENSMUSG00000026923	Notch1	9930111A19Rik|Mis6|N1|Tan1|lin-12	notch 1	protein-coding
11	chr1	155233816	155234273	+	0	NA	intron (NM_001370865, intron 3 of 9)	intron (NM_001370865, intron 3 of 9)	10488	NM_001370865	207792	Mm.29270	NM_001370865	ENSMUSG00000033722	BC034090	6820428L09|mKIAA1614	cDNA sequence BC034090	protein-coding
88	chr17	45629615	45630183	+	0	NA	TTS (NM_001013767)	TTS (NM_001013767)	-27797	NM_001177469	653016	Mm.45676	NM_001177468	ENSMUSG00000079471	Mymx	EG653016|Esgp|Gm7325|minion|myomerger	myomixer, myoblast fusion factor	protein-coding
53	chr13	9173416	9173808	+	0	NA	3' UTR (NM_172585, exon 18 of 18)	3' UTR (NM_172585, exon 18 of 18)	79731	NM_001311117	217980	Mm.234944	NM_172585	ENSMUSG00000033499	Larp4b	A630096F19|AI256361|D13Wsu64e|Larp5	La ribonucleoprotein domain family, member 4B	protein-coding
73	chr15	51814558	51814796	+	0	NA	intron (NM_080635, intron 2 of 7)	B4A|SINE|B4	50784	NM_080635	68135	Mm.289800	NM_080635	ENSMUSG00000022312	Eif3h	1110008A16Rik|40kD|9430017H16Rik|EIF3-P40|EIF3-gamma|Eif3s3	eukaryotic translation initiation factor 3, subunit H	protein-coding
161	chr6	66224656	66224831	+	0	NA	Intergenic	RMER15-int|LTR|ERVL	-47762	NR_136927	102633773	Mm.272086	NR_136927	ENSMUSG00000107653	Gm31520	-	sterol-C5-desaturase pseudogene	pseudo
36	chr11	86959093	86959273	+	0	NA	intron (NM_001005341, intron 2 of 4)	intron (NM_001005341, intron 2 of 4)	34579	NM_001005341	77864	Mm.191894	NM_001005341	ENSMUSG00000018427	Ypel2	6430570G24|E130113K08Rik	yippee like 2	protein-coding
52	chr13	3886771	3887008	+	0	NA	intron (NM_001047159, intron 6 of 9)	intron (NM_001047159, intron 6 of 9)	6692	NM_001047159	56349	Mm.22261	NM_019671	ENSMUSG00000021215	Net1	Net1a|mNET1	neuroepithelial cell transforming gene 1	protein-coding
177	chr7	16639028	16639233	+	0	NA	Intergenic	Intergenic	18348	NR_003247	100038912	Mm.389813	NR_003247	ENSMUSG00000108307	Ceacam-ps1	Gm1978	carcinoembryonic antigen-related cell adhesion molecule pseudogene 1	pseudo
28	chr11	21644358	21644636	+	0	NA	intron (NM_001364768, intron 1 of 16)	intron (NM_001364768, intron 1 of 16)	72216	NM_145425	216560	Mm.138090	NM_145425	ENSMUSG00000020319	Wdpcp	AV249152|Frtz|homolog-13	WD repeat containing planar cell polarity effector	protein-coding
131	chr2	131808837	131809156	+	0	NA	Intergenic	Lx8b|LINE|L1	38660	NR_029381	414081	Mm.246905	NR_029381	ENSMUSG00000086822	5330413P13Rik	-	RIKEN cDNA 5330413P13 gene	ncRNA
