PeakID (cmd=annotatePeaks.pl /exports/humgen/jihed/Coordinate_TOKEEP/atac_peaks/ATAC_Veronica_DN1/DN1_KO_More_accessible_Diffbind.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
moreaccessible35	chr4	47842052	47842595	+	0	NA	Intergenic	Intergenic	-202982	NM_001307989	18124	Mm.247261	NM_015743	ENSMUSG00000028341	Nr4a3	AI573420|CHN|CSMF|MINOR|NOR-1|Nor1|TEC	nuclear receptor subfamily 4, group A, member 3	protein-coding
moreaccessible19	chr3	35909000	35909545	+	0	NA	intron (NM_033623, intron 4 of 6)	intron (NM_033623, intron 4 of 6)	20802	NM_033623	114893	Mm.374810	NM_033623	ENSMUSG00000027708	Dcun1d1	Rp42|SCCRO|Tes3|pTes3	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	protein-coding
moreaccessible28	chr3	64831499	64832086	+	0	NA	intron (NR_003962, intron 1 of 8)	ORR1E|LTR|ERVL-MaLR	12951	NR_003962	319210	Mm.246646	NM_175670	ENSMUSG00000097538	Vmn2r-ps11	4930518C23Rik	vomeronasal 2, receptor, pseudogene 11	pseudo
moreaccessible175	chr2	155107336	155107880	+	0	NA	Intergenic	RLTR45|LTR|ERVK	-7529	NR_040634	100504268	Mm.410858	NR_040634	ENSMUSG00000087254	2310005A03Rik	-	RIKEN cDNA 2310005A03 gene	ncRNA
moreaccessible29	chr11	92922655	92923372	+	0	NA	Intergenic	Intergenic	-175353	NM_001361708	72605	Mm.342160	NM_028296	ENSMUSG00000056158	Car10	2700029L05Rik|BB085816|Ca10	carbonic anhydrase 10	protein-coding
moreaccessible14	chr4	24668986	24669472	+	0	NA	intron (NM_001033531, intron 5 of 9)	intron (NM_001033531, intron 5 of 9)	172778	NR_149739	212377	Mm.120919	NM_199467	ENSMUSG00000045751	Mms22l	F730047E07Rik|Gm134	MMS22-like, DNA repair protein	protein-coding
moreaccessible71	chr13	5779506	5779704	+	0	NA	Intergenic	Intergenic	78487	NR_045891	71867	Mm.179181	NR_045891	ENSMUSG00000100625	1700016G22Rik	-	RIKEN cDNA 1700016G22 gene	ncRNA
moreaccessible48	chr6	68631780	68632146	+	0	NA	Intergenic	Intergenic	695211	NR_004434	19783		NR_004434	ENSMUSG00000106222	Rprl1	Rmrp2|Rpr|Rprh2	ribonuclease P RNA-like 1	ncRNA
moreaccessible45	chr5	38598463	38599131	+	0	NA	Intergenic	IAPLTR2_Mm|LTR|ERVK	-37098	NM_011715	22388	Mm.2654	NM_011715	ENSMUSG00000005103	Wdr1	Aip1|D5Wsu185e|rede	WD repeat domain 1	protein-coding
moreaccessible79	chr11	63146568	63146921	+	0	NA	intron (NM_001302261, intron 2 of 3)	intron (NM_001302261, intron 2 of 3)	13941	NM_001302260	18858	Mm.1237	NM_008885	ENSMUSG00000018217	Pmp22	22kDa|Gas-3|HNPP|TRE002|Tr|trembler	peripheral myelin protein 22	protein-coding
moreaccessible190	chr14	61339299	61339951	+	0	NA	TTS (NM_026598)	TTS (NM_026598)	20820	NM_026598	68177	Mm.22758	NM_026598	ENSMUSG00000021928	Ebpl	5730442K12Rik|EBRP	emopamil binding protein-like	protein-coding
moreaccessible11	chr6	68704298	68704764	+	0	NA	Intergenic	Intergenic	622643	NR_004434	19783		NR_004434	ENSMUSG00000106222	Rprl1	Rmrp2|Rpr|Rprh2	ribonuclease P RNA-like 1	ncRNA
moreaccessible170	chr6	107748694	107749518	+	0	NA	Intergenic	Intergenic	219380	NM_008516	16979	Mm.428543	NM_008516	ENSMUSG00000034648	Lrrn1	2810047E21Rik|NLRR-1	leucine rich repeat protein 1, neuronal	protein-coding
moreaccessible7	chr18	43421575	43422170	+	0	NA	intron (NM_001291455, intron 1 of 13)	MER126|DNA|DNA	16414	NM_001291455	22240	Mm.8180	NM_009468	ENSMUSG00000024501	Dpysl3	CRMP-4|DRP-3|TUC4|ULIP-1|Ulip|Ulip1	dihydropyrimidinase-like 3	protein-coding
moreaccessible186	chr2	14448603	14449301	+	0	NA	intron (NM_001012305, intron 10 of 12)	intron (NM_001012305, intron 10 of 12)	60554	NM_001012305	277468	Mm.44662	NM_001012305	ENSMUSG00000036949	Slc39a12	AW046938|Gm731	solute carrier family 39 (zinc transporter), member 12	protein-coding
moreaccessible184	chr9	16702293	16703655	+	0	NA	Intergenic	Intergenic	-200920	NM_001080814	270120	Mm.195010	NM_001080814	ENSMUSG00000074505	Fat3	9430076A06Rik|D430038H04Rik|Gm1132|Gm510|MFAT3F	FAT atypical cadherin 3	protein-coding
moreaccessible44	chrX	122271033	122271494	+	0	NA	Intergenic	RLTR45|LTR|ERVK	126122	NM_138742	54561	Mm.490573	NM_138742	ENSMUSG00000055733	Nap1l3	MB20	nucleosome assembly protein 1-like 3	protein-coding
moreaccessible147	chr12	61994074	61995161	+	0	NA	Intergenic	IAPLTR3-int|LTR|ERVK	471450	NM_178714	238205	Mm.28802	NM_178714	ENSMUSG00000035653	Lrfn5	AI427653|AI604817|C130061B21|Salm5|mKIAA4208	leucine rich repeat and fibronectin type III domain containing 5	protein-coding
moreaccessible56	chr18	43650205	43650655	+	0	NA	intron (NM_001163637, intron 1 of 21)	intron (NM_001163637, intron 1 of 21)	37343	NM_001163637	76217	Mm.134602	NM_001163637	ENSMUSG00000024502	Jakmip2	6430702L21Rik|AI850334|D930046L20Rik	janus kinase and microtubule interacting protein 2	protein-coding
moreaccessible176	chr6	131263908	131264415	+	0	NA	Intergenic	Intergenic	-16799	NM_008462	16633	Mm.4783	NM_008462	ENSMUSG00000030187	Klra2	Klra30|Ly49b	killer cell lectin-like receptor, subfamily A, member 2	protein-coding
moreaccessible4	chr17	76111597	76112161	+	0	NA	Intergenic	Intergenic	250856	NR_033456	100043885	Mm.127562	NR_033456	ENSMUSG00000117539	Gm4710	-	predicted gene 4710	ncRNA
moreaccessible105	chr8	19554242	19554790	+	0	NA	Intergenic	ORR1D2|LTR|ERVL-MaLR	59419	NM_139220	246080	Mm.207067	NM_139220	ENSMUSG00000037790	Defb7	BD-7|Defb15	defensin beta 7	protein-coding
moreaccessible61	chr1	134504828	134505411	+	0	NA	intron (NM_145510, intron 1 of 1)	intron (NM_145510, intron 1 of 1)	10480	NM_145510	98710	Mm.198119	NM_145510	ENSMUSG00000042229	Rabif	AI842864|AW549708|E130318E12Rik|MSS4|RASGFR3	RAB interacting factor	protein-coding
moreaccessible47	chr8	126205868	126206378	+	0	NA	intron (NM_001363500, intron 2 of 7)	B4|SINE|B4	66998	NM_001363500	210027	Mm.405238	NM_175434	ENSMUSG00000057060	Slc35f3	B230375D17Rik	solute carrier family 35, member F3	protein-coding
moreaccessible86	chr10	97111752	97112100	+	0	NA	Intergenic	Intergenic	76158	NR_045358	75301	Mm.108650	NR_045358	ENSMUSG00000111924	4930556N09Rik	-	RIKEN cDNA 4930556N09 gene	ncRNA
moreaccessible140	chr3	110889882	110890450	+	0	NA	Intergenic	Lx3C|LINE|L1	-639167	NM_178891	99890	Mm.36115	NM_178891	ENSMUSG00000049300	Prmt6	AW124876|BB233495|Hrmt1l6	protein arginine N-methyltransferase 6	protein-coding
moreaccessible106	chr6	145830215	145830505	+	0	NA	Intergenic	Intergenic	35060	NM_001271768	79362	Mm.154529	NM_024469	ENSMUSG00000030256	Bhlhe41	6430520M22Rik|Bhlhb2l|Bhlhb3|DEC2|Sharp1	basic helix-loop-helix family, member e41	protein-coding
moreaccessible136	chr1	111394365	111395110	+	0	NA	Intergenic	Intergenic	-417144	NM_001081386	227485	Mm.322070	NM_001081386	ENSMUSG00000047216	Cdh19	-	cadherin 19, type 2	protein-coding
moreaccessible185	chr11	78094284	78095392	+	0	NA	intron (NM_145430, intron 1 of 2)	intron (NM_145430, intron 1 of 2)	148	NM_145430	216971	Mm.119387	NM_145430	ENSMUSG00000037750	Fam222b	9630020I17Rik	family with sequence similarity 222, member B	protein-coding
moreaccessible51	chr2	70262447	70262892	+	0	NA	intron (NM_177376, intron 23 of 34)	intron (NM_177376, intron 23 of 34)	-212254	NM_022435	64406	Mm.423397	NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding
moreaccessible74	chr14	106259455	106260107	+	0	NA	Intergenic	Intergenic	153583	NM_198601	212085	Mm.78128	NM_198601	ENSMUSG00000022113	Trim52	4921513B05Rik	tripartite motif-containing 52	protein-coding
moreaccessible43	chr16	65472470	65472806	+	0	NA	Intergenic	Intergenic	-47874	NM_008849	18736	Mm.355440	NM_008849	ENSMUSG00000004842	Pou1f1	GHF-1|Hmp1|Pit-1|Pit1|Pit1-rs1|dw|dwarf	POU domain, class 1, transcription factor 1	protein-coding
moreaccessible100	chr8	119946367	119946729	+	0	NA	intron (NM_009462, intron 4 of 13)	intron (NM_009462, intron 4 of 13)	36188	NM_001310630	22224	Mm.256910	NM_009462	ENSMUSG00000031826	Usp10	2610014N07Rik|UBPO|Uchrp|mKIAA0190	ubiquitin specific peptidase 10	protein-coding
moreaccessible161	chr6	136468405	136468989	+	0	NA	Intergenic	Intergenic	-50154	NM_019426	54343	Mm.173271	NM_019426	ENSMUSG00000030213	Atf7ip	2610204M12Rik|AM|Mcaf1	activating transcription factor 7 interacting protein	protein-coding
moreaccessible128	chr2	106935525	106936194	+	0	NA	Intergenic	ORR1B2|LTR|ERVL-MaLR	34532	NM_173750	212772	Mm.381231	NM_173750	ENSMUSG00000027122	Arl14ep	2700007P21Rik|4930448O08Rik|ARF7EP	ADP-ribosylation factor-like 14 effector protein	protein-coding
moreaccessible141	chr8	70844647	70844839	+	0	NA	intron (NM_001363407, intron 10 of 10)	intron (NM_001363407, intron 10 of 10)	-5023	NM_027560	70807	Mm.24215	NM_027560	ENSMUSG00000002910	Arrdc2	4632416I05Rik|Ilad1	arrestin domain containing 2	protein-coding
moreaccessible110	chr13	114907795	114908526	+	0	NA	intron (NM_008396, intron 1 of 29)	MLT1C|LTR|ERVL-MaLR	23940	NM_008396	16398	Mm.5007	NM_008396	ENSMUSG00000015533	Itga2	CD49B|DX5|GPIa	integrin alpha 2	protein-coding
moreaccessible155	chr18	39281980	39282663	+	0	NA	intron (NM_175164, intron 17 of 22)	intron (NM_175164, intron 17 of 22)	206958	NM_008173	14815	Mm.129481	NM_008173	ENSMUSG00000024431	Nr3c1	GR|Grl-1|Grl1	nuclear receptor subfamily 3, group C, member 1	protein-coding
moreaccessible118	chr6	114680538	114681198	+	0	NA	intron (NM_001253717, intron 6 of 19)	ORR1F|LTR|ERVL-MaLR	37771	NM_001253718	74244	Mm.275332	NM_028835	ENSMUSG00000030314	Atg7	1810013K23Rik|Agp7|Apg7l|Atg7l|Gm21553	autophagy related 7	protein-coding
moreaccessible130	chr10	86847039	86847458	+	0	NA	intron (NM_138673, intron 65 of 68)	intron (NM_138673, intron 65 of 68)	68243	NM_175331	103466	Mm.200446	NM_175331	ENSMUSG00000054027	Nt5dc3	AU040402|AW540062|C630002B14Rik|TU12B1-TY	5'-nucleotidase domain containing 3	protein-coding
moreaccessible129	chr17	18558374	18559399	+	0	NA	Intergenic	IAPLTR3-int|LTR|ERVK	-22841	NM_001104547	433070	Mm.215962	NM_001104547	ENSMUSG00000091679	Vmn2r96	EG433070	vomeronasal 2, receptor 96	protein-coding
moreaccessible120	chr3	81838067	81838428	+	0	NA	Intergenic	RLTR45|LTR|ERVK	36222	NR_138586	320566	Mm.208417	NR_138586	ENSMUSG00000103695	A830029E22Rik	-	RIKEN cDNA A830029E22 gene	ncRNA
moreaccessible178	chr7	115597347	115598140	+	0	NA	intron (NM_001025559, intron 7 of 15)	intron (NM_001025559, intron 7 of 15)	203866	NM_001277328	20679	Mm.323365	NM_011445	ENSMUSG00000051910	Sox6	AI987981|SOX-LZ	SRY (sex determining region Y)-box 6	protein-coding
moreaccessible69	chr5	72743115	72743621	+	0	NA	intron (NM_001289495, intron 1 of 14)	MER20|DNA|hAT-Charlie	-6766	NM_013698	22165	Mm.3264	NM_013698	ENSMUSG00000054892	Txk	A130089B16Rik|Btkl|PTK-RL-18|PTK4|Rlk	TXK tyrosine kinase	protein-coding
moreaccessible96	chr13	33435009	33435822	+	0	NA	Intergenic	Intergenic	39742	NM_001370927	544923		NM_001370927	ENSMUSG00000071452	Serpinb9h	Gm11397	serine (or cysteine) peptidase inhibitor, clade B, member 9h	protein-coding
moreaccessible18	chr17	18458056	18458696	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	34272	NM_001102581	328759	Mm.469839	NM_001102581	ENSMUSG00000091631	Vmn2r95	-	vomeronasal 2, receptor 95	protein-coding
moreaccessible131	chr11	28076082	28076901	+	0	NA	Intergenic	Intergenic	507833	NM_001346759	216613	Mm.93759	NM_181577	ENSMUSG00000032878	Ccdc85a	-	coiled-coil domain containing 85A	protein-coding
moreaccessible152	chr1	76024370	76025197	+	0	NA	Intergenic	Intergenic	-464350	NR_038013	620079	Mm.378379	NR_038012	ENSMUSG00000100553	Gm17751	-	predicted gene, 17751	ncRNA
moreaccessible111	chr11	90558228	90559067	+	0	NA	intron (NM_011505, intron 12 of 17)	intron (NM_011505, intron 12 of 17)	79461	NM_011505	20913	Mm.207203	NM_011505	ENSMUSG00000020546	Stxbp4	6030470M02Rik|Synip	syntaxin binding protein 4	protein-coding
moreaccessible3	chr2	134271340	134271917	+	0	NA	Intergenic	Intergenic	282724	NM_010403	15112	Mm.26634	NM_010403	ENSMUSG00000027261	Hao1	GOX|Gox1|Hao-1	hydroxyacid oxidase 1, liver	protein-coding
moreaccessible180	GL456359.1	19250	20896	+	0	NA	NA	NA	NA	NA								
moreaccessible92	chr1	185105283	185105919	+	0	NA	Intergenic	Intergenic	-98567	NM_001163754	98732	Mm.275841	NM_172649	ENSMUSG00000039318	Rab3gap2	1110059F07Rik|2010002H18Rik|5830469C09|AI851069|AW743433|RAB3-GAP150|mKIAA0839	RAB3 GTPase activating protein subunit 2	protein-coding
moreaccessible193	chr4	93481238	93481836	+	0	NA	Intergenic	Intergenic	-146026	NM_026954	69136	Mm.171558	NM_026954	ENSMUSG00000054000	Tusc1	2200001D17Rik|TSG-9	tumor suppressor candidate 1	protein-coding
moreaccessible146	chr5	143547375	143547862	+	0	NA	Intergenic	Intergenic	-1102	NM_026050	67238	Mm.383219	NM_026050	ENSMUSG00000118332	Fam220a	1500026F15Rik|2810453I06Rik|AW047776|Acpin1|Sipar	family with sequence similarity 220, member A	protein-coding
moreaccessible24	chr18	52128514	52129134	+	0	NA	Intergenic	MTE2b|LTR|ERVL-MaLR	-5278	NR_029788	723830		NR_029788	ENSMUSG00000065494	Mir28a	Mir28|Mirn28|mmu-mir-28|mmu-mir-28a	microRNA 28a	ncRNA
moreaccessible94	chr9	78879084	78879394	+	0	NA	Intergenic	RMER1C|Other|Other	263693	NM_153098	235505	Mm.32955	NM_153098	ENSMUSG00000046186	Cd109	9930012E15Rik|AI480638|GARP	CD109 antigen	protein-coding
moreaccessible5	chr4	9708607	9709091	+	0	NA	Intergenic	Intergenic	-39505	NM_001290367	65973	Mm.222206	NM_023066	ENSMUSG00000028207	Asph	2310005F16Rik|3110001L23Rik|AI848629|AW261690|AW561901|BAH|C79816|cI-37	aspartate-beta-hydroxylase	protein-coding
moreaccessible166	chr7	19303865	19304416	+	0	NA	3' UTR (NM_001347586, exon 5 of 5)	3' UTR (NM_001347586, exon 5 of 5)	5905	NM_001347586	14282	Mm.248335	NM_008036	ENSMUSG00000003545	Fosb	-	FBJ osteosarcoma oncogene B	protein-coding
moreaccessible16	chr6	51606468	51606853	+	0	NA	Intergenic	Intergenic	61367	NM_001361577	71982	Mm.294166	NM_028035	ENSMUSG00000038301	Snx10	2410004M09Rik	sorting nexin 10	protein-coding
moreaccessible25	chr19	45205864	45206423	+	0	NA	Intergenic	Intergenic	30698	NM_010691	16814	Mm.116815	NM_010691	ENSMUSG00000025216	Lbx1	Lbx1h	ladybird homeobox 1	protein-coding
moreaccessible138	chr17	19444694	19445396	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	-59766	NM_001104562	627537	Mm.469858	NM_001104562	ENSMUSG00000091859	Vmn2r100	EG627537	vomeronasal 2, receptor 100	protein-coding
moreaccessible46	chr5	103311206	103311702	+	0	NA	Intergenic	Intergenic	-12425	NR_040699	74624	Mm.389662	NR_040699	ENSMUSG00000104956	4930429D17Rik	-	RIKEN cDNA 4930429D17 gene	ncRNA
moreaccessible102	chr2	150307202	150307486	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	49827	NM_001142410	100216455	Mm.484816	NM_001142410	ENSMUSG00000079008	Gm14124	EG640962|Gm10749	predicted gene 14124	protein-coding
moreaccessible6	chr12	58219026	58219588	+	0	NA	Intergenic	Intergenic	7503	NM_009216	20605	Mm.278336	NM_009216	ENSMUSG00000035431	Sstr1	SRIF-2|SS-1-R|SS1-R|SS1R|Smstr-1|Smstr1|sst1	somatostatin receptor 1	protein-coding
moreaccessible107	chr12	82214977	82215391	+	0	NA	intron (NM_001167983, intron 1 of 23)	intron (NM_001167983, intron 1 of 23)	45168	NM_001167983	217692	Mm.261333	NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|AW213287|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding
moreaccessible124	chr3	140230731	140231261	+	0	NA	Intergenic	Intergenic	202747	NR_105798	102465198		NR_105798	ENSMUSG00000099169	Mir7j	Gm27716|Mirlet7j|mmu-let-7j	microRNA 7j	ncRNA
moreaccessible144	chr11	52046226	52047016	+	0	NA	intron (NM_001166654, intron 13 of 13)	intron (NM_001166654, intron 13 of 13)	42400	NM_001166654	213084	Mm.280557	NM_153785	ENSMUSG00000020389	Cdkl3	AI852479|B230379H01Rik	cyclin-dependent kinase-like 3	protein-coding
moreaccessible127	chr17	18968216	18969137	+	0	NA	Intergenic	IAPLTR3-int|LTR|ERVK	54354	NM_001104549	627367	Mm.384131	NM_001104549	ENSMUSG00000091491	Vmn2r97	EG627367|Vn2r97	vomeronasal 2, receptor 97	protein-coding
