PeakID (cmd=annotatePeaks.pl DN1_more_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
253	chr18	8930768	8931062	+	0	NA	Intergenic	Intergenic	-281941	NM_008058	14370	Mm.184289	NM_008058	ENSMUSG00000036904	Fzd8	Fz8	frizzled class receptor 8	protein-coding
255	chr18	46337128	46337462	+	0	NA	Intergenic	Intergenic	-25367	NM_001160399	240261	Mm.329416	NM_001160399	ENSMUSG00000071855	Ccdc112	8430438M01Rik|AW108467	coiled-coil domain containing 112	protein-coding
86	chr5	114309010	114309328	+	0	NA	intron (NM_001164573, intron 1 of 31)	intron (NM_001164573, intron 1 of 31)	19916	NM_001164573	231646	Mm.238285	NM_146163	ENSMUSG00000066952	Myo1h	4631401O15Rik	myosin 1H	protein-coding
148	chr10	86847134	86847458	+	0	NA	intron (NM_138673, intron 65 of 68)	intron (NM_138673, intron 65 of 68)	68291	NM_175331	103466	Mm.200446	NM_175331	ENSMUSG00000054027	Nt5dc3	AU040402|AW540062|C630002B14Rik|TU12B1-TY	5'-nucleotidase domain containing 3	protein-coding
149	chr10	95858128	95858413	+	0	NA	Intergenic	GA-rich|Low_complexity|Low_complexity	-82393	NM_001001932	216238	Mm.210035	NM_001001932	ENSMUSG00000036499	Eea1	A430109M19Rik|B230358H09Rik|ZFYVE2	early endosome antigen 1	protein-coding
256	chr18	47583459	47583718	+	0	NA	intron (NR_033454, intron 1 of 5)	intron (NR_033454, intron 1 of 5)	45853	NR_033454	328953	Mm.246768	NR_033454	ENSMUSG00000118259	Gm5095	A730092B10	predicted gene 5095	ncRNA
215	chr14	29080714	29080899	+	0	NA	intron (NM_009785, intron 17 of 37)	intron (NM_009785, intron 17 of 37)	62598	NM_176920	319476	Mm.95780	NM_176920	ENSMUSG00000045776	Lrtm1	A930016D02Rik	leucine-rich repeats and transmembrane domains 1	protein-coding
28	chr2	79954938	79955580	+	0	NA	intron (NM_001159582, intron 2 of 15)	intron (NM_001159582, intron 2 of 15)	-46860	NM_001355144	18573	Mm.40678	NM_016744	ENSMUSG00000059173	Pde1a	AI987702|AW125737	phosphodiesterase 1A, calmodulin-dependent	protein-coding
229	chr15	78753065	78753332	+	0	NA	Intergenic	Intergenic	20247	NM_008595	17305	Mm.149235	NM_008595	ENSMUSG00000018169	Mfng	AW546563	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding
183	chr12	72748481	72748720	+	0	NA	Intergenic	Intergenic	-12611	NM_008910	19042	Mm.261045	NM_008910	ENSMUSG00000021096	Ppm1a	2310003C21Rik|2900017D14Rik|AI427932|AU017636|MMPa-2|MPPa-1	protein phosphatase 1A, magnesium dependent, alpha isoform	protein-coding
81	chr5	72269695	72269874	+	0	NA	intron (NR_003966, intron 15 of 22)	intron (NR_003966, intron 15 of 22)	66441	NM_153389	231287	Mm.32775	NM_153389	ENSMUSG00000046808	Atp10d	9830145H18Rik|ATPVD|D5Buc24e	ATPase, class V, type 10D	protein-coding
37	chr2	150472428	150472955	+	0	NA	exon (NM_001034900, exon 4 of 4)	exon (NM_001034900, exon 4 of 4)	12372	NM_001034900	545471	Mm.451002	NM_001034900	ENSMUSG00000074731	Zfp345	-	zinc finger protein 345	protein-coding
98	chr6	72284093	72284277	+	0	NA	Intergenic	ID_B1|SINE|B4	-20425	NM_147779	20388	Mm.46033	NM_147779	ENSMUSG00000056370	Sftpb	AI562151|SF-B|SP-B|Sftp-3|Sftp3	surfactant associated protein B	protein-coding
265	chrX	103509351	103509638	+	0	NA	Intergenic	Intergenic	15936	NR_015508	70252	Mm.380486	NR_015508	ENSMUSG00000097571	Jpx	2010000I03Rik|2510040I06Rik|Enox	Jpx transcript, Xist activator (non-protein coding)	ncRNA
195	chr13	25870000	25870190	+	0	NA	Intergenic	Intergenic	96221	NR_045062	100503530	Mm.86763	NR_045062	ENSMUSG00000086531	Gm11351	-	predicted gene 11351	ncRNA
181	chr12	62017747	62018035	+	0	NA	Intergenic	RLTR45|LTR|ERVK	494724	NM_001310586	238205	Mm.28802	NM_178714	ENSMUSG00000035653	Lrfn5	AI427653|AI604817|C130061B21|Salm5|mKIAA4208	leucine rich repeat and fibronectin type III domain containing 5	protein-coding
46	chr3	78618910	78619314	+	0	NA	Intergenic	Intergenic	526634	NM_001310536	76089	Mm.31220	NM_001099624	ENSMUSG00000062232	Rapgef2	5830453M24Rik|CNRasGEF|Pdzgef1|RA-GEF-1|mKIAA0313|nRapGEP	Rap guanine nucleotide exchange factor (GEF) 2	protein-coding
71	chr4	132144240	132144581	+	0	NA	promoter-TSS (NM_013622)	promoter-TSS (NM_013622)	76	NM_013622	18386	Mm.5243	NM_013622	ENSMUSG00000050511	Oprd1	DOR|DOR-1|Nbor|mDOR	opioid receptor, delta 1	protein-coding
129	chr9	44041147	44041322	+	0	NA	Intergenic	Intergenic	-2150	NM_009382	21838	Mm.3951	NM_009382	ENSMUSG00000032011	Thy1	CD90|T25|Thy-1|Thy-1.2|Thy1.1|Thy1.2	thymus cell antigen 1, theta	protein-coding
263	chr19	36479450	36479666	+	0	NA	Intergenic	L1M2|LINE|L1	69810	NM_001368691	76073	Mm.259180	NM_029508	ENSMUSG00000024805	Pcgf5	0610009F02Rik|1110054A01Rik|5830406C17Rik|5830443C21Rik|9530023M17Rik|AI324127	polycomb group ring finger 5	protein-coding
132	chr9	66094616	66094877	+	0	NA	intron (NM_019727, intron 8 of 14)	intron (NM_019727, intron 8 of 14)	-25015	NM_001025612	382083	Mm.477103	NM_001025612	ENSMUSG00000039452	Snx22	Gm1120	sorting nexin 22	protein-coding
26	chr2	48841540	48842192	+	0	NA	intron (NM_007396, intron 1 of 10)	intron (NM_007396, intron 1 of 10)	27757	NM_007396	11480	Mm.314338	NM_007396	ENSMUSG00000052155	Acvr2a	ActrIIa|Acvr2|TactrII	activin receptor IIA	protein-coding
233	chr16	72273080	72273367	+	0	NA	Intergenic	Intergenic	-38896	NR_131115	319533	Mm.373754	NR_131115	ENSMUSG00000116769	8030451O07Rik	-	RIKEN cDNA 8030451O07 gene	ncRNA
80	chr5	64684289	64684522	+	0	NA	Intergenic	Intergenic	-73706	NR_045078	100042198	Mm.25191	NR_045078	ENSMUSG00000105402	Gm3716	Gm1683	predicted gene 3716	ncRNA
84	chr5	103404639	103404898	+	0	NA	Intergenic	Intergenic	-20424	NM_011204	19249	Mm.3414	NM_011204	ENSMUSG00000034573	Ptpn13	AI324989|PTP-BL|PTPL1|Ptpri|RIP	protein tyrosine phosphatase, non-receptor type 13	protein-coding
73	chr4	145305753	145306218	+	0	NA	intron (NM_009401, intron 1 of 12)	ID_B1|SINE|B4	9179	NM_009401	21941	Mm.12810	NM_009401	ENSMUSG00000028602	Tnfrsf8	Cd30|D1S166E|Ki|Ki-1	tumor necrosis factor receptor superfamily, member 8	protein-coding
244	chr17	51396087	51396269	+	0	NA	intron (NR_037264, intron 3 of 4)	intron (NR_037264, intron 3 of 4)	52091	NR_046166	328837	Mm.236143	NR_046166	ENSMUSG00000117204	C330011F03Rik	C330011F03	RIKEN cDNA C330011F03 gene	ncRNA
57	chr3	137016798	137017038	+	0	NA	Intergenic	Intergenic	-272699	NR_163863								
87	chr5	120323510	120323711	+	0	NA	Intergenic	Intergenic	-108276	NM_008499	16873	Mm.5151	NM_008499	ENSMUSG00000029595	Lhx5	Lim2	LIM homeobox protein 5	protein-coding
166	chr11	96340853	96341033	+	0	NA	intron (NM_001079869, intron 1 of 3)	CpG	-2826	NM_010458	15410	Mm.342481	NM_010458	ENSMUSG00000048763	Hoxb3	Hox-2.7	homeobox B3	protein-coding
53	chr3	114790170	114790545	+	0	NA	Intergenic	Intergenic	-113721	NM_153458	229759	Mm.54183	NM_153157	ENSMUSG00000027965	Olfm3	B230206G02Rik	olfactomedin 3	protein-coding
226	chr15	36364189	36364369	+	0	NA	Intergenic	Intergenic	-81132	NM_013923	30945	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding
140	chr9	105965124	105965300	+	0	NA	Intergenic	Intergenic	-4569	NM_001167923	665033	Mm.39826	NM_001167923	ENSMUSG00000091345	Col6a5	Col29a1|EG665033|Gm7455	collagen, type VI, alpha 5	protein-coding
248	chr17	82377166	82377514	+	0	NA	Intergenic	RMER19B|LTR|ERVK	-638953	NR_104580	20541	Mm.265834	NM_011406	ENSMUSG00000054640	Slc8a1	AI852629|AV344025|D930008O12Rik|Ncx1	solute carrier family 8 (sodium/calcium exchanger), member 1	protein-coding
254	chr18	20992731	20992982	+	0	NA	Intergenic	Intergenic	-8444	NM_019706	56515	Mm.253542	NM_019706	ENSMUSG00000024317	Rnf138	2410015A17Rik|2810480D20Rik|STRIN|Trif|Trif-d	ring finger protein 138	protein-coding
227	chr15	36706058	36706445	+	0	NA	Intergenic	Intergenic	84681	NM_001253807	22631	Mm.3360	NM_011740	ENSMUSG00000022285	Ywhaz	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	protein-coding
17	chr1	184142881	184143124	+	0	NA	Intergenic	Intergenic	108621	NM_022019	63953	Mm.404024	NM_022019	ENSMUSG00000039384	Dusp10	2610306G15Rik|AI158871|MKP-5|MKP5	dual specificity phosphatase 10	protein-coding
190	chr12	97603270	97603634	+	0	NA	Intergenic	RLTR45|LTR|ERVK	656007	NM_008079	14420	Mm.5120	NM_008079	ENSMUSG00000021003	Galc	2310068B06Rik|A930008M05Rik|AW212969|AW413532|Gacy|twi|twitcher	galactosylceramidase	protein-coding
193	chr12	105104202	105104482	+	0	NA	Intergenic	Intergenic	-42677	NR_155261	27381	Mm.103653	NM_013775	ENSMUSG00000060863	Tcl1b2	-	T cell leukemia/lymphoma 1B, 2	protein-coding
104	chr6	128790497	128790746	+	0	NA	Intergenic	Intergenic	-1980	NM_008527	17059	Mm.480764	NM_008527	ENSMUSG00000030325	Klrb1c	AI462337|CD161|Klrb1b|Ly-59|Ly55c|Ly59|NK-RP1|NK1.1|NKR-P1.9|NKRP1|NKRP140|Nk-1|Nk-1.2|Nk1|Nk1.2|Nkrp1b|Nkrp1c|ly-55c	killer cell lectin-like receptor subfamily B member 1C	protein-coding
94	chr6	54368209	54368447	+	0	NA	intron (NR_033635, intron 3 of 13)	intron (NR_033635, intron 3 of 13)	41427	NM_030024	78004	Mm.41984	NM_030024	ENSMUSG00000045725	Prr15	E130201N16Rik|G90	proline rich 15	protein-coding
135	chr9	75760028	75760378	+	0	NA	Intergenic	L1_Mus3|LINE|L1	-15162	NM_007555	12160	Mm.428950	NM_007555	ENSMUSG00000032179	Bmp5	AU023399|se	bone morphogenetic protein 5	protein-coding
211	chr13	113061794	113061981	+	0	NA	intron (NM_001281487, intron 4 of 11)	intron (NM_001281487, intron 4 of 11)	-15499	NM_027127	69590	Mm.12715	NM_027127	ENSMUSG00000021760	Gpx8	2310016C16Rik|AU017063	glutathione peroxidase 8 (putative)	protein-coding
156	chr11	40775595	40776073	+	0	NA	Intergenic	Intergenic	-20548	NM_009831	12450	Mm.2103	NM_009831	ENSMUSG00000020326	Ccng1	AI314029	cyclin G1	protein-coding
16	chr1	171572134	171572314	+	0	NA	intron (NM_018729, intron 1 of 8)	intron (NM_018729, intron 1 of 8)	13031	NM_018729	18106	Mm.2299	NM_018729	ENSMUSG00000004709	Cd244a	2B4|C9.1|Cd244|F730046O15Rik|Ly90|NAIL|NKR2B4|Nmrk|SLAMF4	CD244 molecule A	protein-coding
97	chr6	67014682	67014939	+	0	NA	intron (NM_001177560, intron 3 of 4)	intron (NM_001177560, intron 3 of 4)	-21789	NR_040278	320172	Mm.449039	NR_040278	ENSMUSG00000087231	E230016M11Rik	-	RIKEN cDNA E230016M11 gene	ncRNA
38	chr3	14915432	14915776	+	0	NA	Intergenic	Intergenic	29316	NM_009801	12349	Mm.1186	NM_009801	ENSMUSG00000027562	Car2	AI131712|CAII|Ca2|Car-2|Ltw-5|Lvtw-5	carbonic anhydrase 2	protein-coding
47	chr3	80181647	80181827	+	0	NA	Intergenic	Intergenic	295807	NM_133187	68659	Mm.427274	NM_133187	ENSMUSG00000027955	Gask1b	1110032E23Rik|2210419I08Rik|AV011458|Ened|Fam198b|GaskbB	golgi associated kinase 1B	protein-coding
60	chr3	150127271	150127641	+	0	NA	Intergenic	Intergenic	852719	NR_040591	381482	Mm.393866	NR_040591		Gm1653	-	predicted gene 1653	ncRNA
236	chr17	18558445	18559346	+	0	NA	Intergenic	IAPLTR3-int|LTR|ERVK	-22832	NM_001104547	433070	Mm.215962	NM_001104547	ENSMUSG00000091679	Vmn2r96	EG433070	vomeronasal 2, receptor 96	protein-coding
188	chr12	84545963	84546272	+	0	NA	Intergenic	Intergenic	-23711	NM_001301427	12677	Mm.4405	NM_007701	ENSMUSG00000021239	Vsx2	Chx10|Hox-10|Hox10|or	visual system homeobox 2	protein-coding
36	chr2	150307150	150307448	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	49782	NM_001142410	100216455	Mm.484816	NM_001142410	ENSMUSG00000079008	Gm14124	EG640962|Gm10749	predicted gene 14124	protein-coding
269	chrY	897789	898299	+	0	NA	exon (NM_011419, exon 1 of 26)	exon (NM_011419, exon 1 of 26)	256	NM_011419	20592	Mm.262676	NM_011419	ENSMUSG00000056673	Kdm5d	HY|Jarid1d|Smcy	lysine (K)-specific demethylase 5D	protein-coding
1	chr1	12574148	12574580	+	0	NA	Intergenic	RLTR45|LTR|ERVK	-93199	NR_045297	329096	Mm.417782	NR_045297	ENSMUSG00000097171	Gm17644	4932411L15	predicted gene, 17644	ncRNA
102	chr6	116657535	116657733	+	0	NA	intron (NM_178045, intron 3 of 10)	intron (NM_178045, intron 3 of 10)	6950	NM_145980	213393	Mm.38231	NM_145980	ENSMUSG00000048489	Depp1	8430408G22Rik|Depp|Fseg	DEPP1 autophagy regulator	protein-coding
163	chr11	92922838	92923170	+	0	NA	Intergenic	Intergenic	-175362	NM_001361708	72605	Mm.342160	NM_028296	ENSMUSG00000056158	Car10	2700029L05Rik|BB085816|Ca10	carbonic anhydrase 10	protein-coding
264	chr19	45649982	45650211	+	0	NA	intron (NM_013907, intron 1 of 8)	B2_Mm2|SINE|B2	10097	NM_013907	30838	Mm.254739	NM_013907	ENSMUSG00000040913	Fbxw4	Dac|Fbw4|SHFM3|SHSF3|dactylin|dactylyn	F-box and WD-40 domain protein 4	protein-coding
11	chr1	111634078	111634343	+	0	NA	Intergenic	Intergenic	230708	NM_001081316	319901	Mm.103468	NM_001081316	ENSMUSG00000038702	Dsel	9330132E09Rik|DS-epi2	dermatan sulfate epimerase-like	protein-coding
67	chr4	47098211	47098724	+	0	NA	intron (NR_156438, intron 1 of 8)	intron (NR_156438, intron 1 of 8)	6544	NM_172693	230145	Mm.132246	NM_172693	ENSMUSG00000039774	Galnt12	9130206E10|A630062B03Rik|galNAc-T12|mpp-GalNAc-T12|pp-GaNTase	polypeptide N-acetylgalactosaminyltransferase 12	protein-coding
51	chr3	86829825	86830026	+	0	NA	intron (NM_001195500, intron 4 of 11)	(CAAA)n|Simple_repeat|Simple_repeat	90959	NM_001195496	70762	Mm.44490	NM_027539	ENSMUSG00000028078	Dclk2	6330415M09Rik|AU044875|CL2|CLICK2|Click-II|Dcamkl2	doublecortin-like kinase 2	protein-coding
85	chr5	103435263	103435591	+	0	NA	intron (NM_011204, intron 1 of 47)	intron (NM_011204, intron 1 of 47)	10235	NM_011204	19249	Mm.3414	NM_011204	ENSMUSG00000034573	Ptpn13	AI324989|PTP-BL|PTPL1|Ptpri|RIP	protein tyrosine phosphatase, non-receptor type 13	protein-coding
22	chr2	25147872	25148133	+	0	NA	Intergenic	Intergenic	-32756	NM_025980	67122	Mm.46539	NM_025980	ENSMUSG00000078202	Nrarp	2700054M22Rik	Notch-regulated ankyrin repeat protein	protein-coding
58	chr3	138275229	138275407	+	0	NA	Intergenic	Intergenic	-2267	NM_007409	11522	Mm.2409	NM_007409	ENSMUSG00000074207	Adh1	ADH-A2|ADH-AA|AI194826|Adh-1|Adh-1-t|Adh-1e|Adh-1t|Adh-3e|Adh1-e|Adh1-t|Adh1tl|Adh3-e	alcohol dehydrogenase 1 (class I)	protein-coding
243	chr17	19435114	19435327	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	-69591	NM_001104562	627537	Mm.469858	NM_001104562	ENSMUSG00000091859	Vmn2r100	EG627537	vomeronasal 2, receptor 100	protein-coding
266	chrX	106698686	106698973	+	0	NA	intron (NM_001033541, intron 3 of 3)	(TTTC)n|Simple_repeat|Simple_repeat	-95150	NM_001281862	58861	Mm.287166	NM_021476	ENSMUSG00000052821	Cysltr1	BB147369|CysLT1R|Cyslt1	cysteinyl leukotriene receptor 1	protein-coding
54	chr3	114936745	114937146	+	0	NA	intron (NM_001286750, intron 1 of 5)	MTD|LTR|ERVL-MaLR	32310	NM_001286750	229759	Mm.54183	NM_153157	ENSMUSG00000027965	Olfm3	B230206G02Rik	olfactomedin 3	protein-coding
138	chr9	77694216	77694393	+	0	NA	Intergenic	Lx8|LINE|L1	57572	NM_172925	244923	Mm.138238	NM_172925	ENSMUSG00000044938	Klhl31	9830147P19Rik|D930047P17Rik|Kbtbd1	kelch-like 31	protein-coding
116	chr7	108970473	108970709	+	0	NA	Intergenic	Intergenic	36176	NM_025344	66085	Mm.182962	NM_025344	ENSMUSG00000031029	Eif3f	0610037M02Rik|AA409853|Eif3s5	eukaryotic translation initiation factor 3, subunit F	protein-coding
101	chr6	113038402	113038603	+	0	NA	Intergenic	Intergenic	-7800	NM_008188	14911	Mm.781	NM_008188	ENSMUSG00000030264	Thumpd3	AW556087|Gt(ROSA)26asSor|Gtrosa26as	THUMP domain containing 3	protein-coding
223	chr14	122290379	122290681	+	0	NA	intron (NM_029556, intron 1 of 7)	intron (NM_029556, intron 1 of 7)	-56892	NR_015532	68245	Mm.443285	NR_015532	ENSMUSG00000100585	1700108J01Rik	-	RIKEN cDNA 1700108J01 gene	ncRNA
30	chr2	85224978	85225146	+	0	NA	Intergenic	Intergenic	-26312	NM_001033346	241528	Mm.291095	NM_001033346	ENSMUSG00000075224	Lrrc55	A330097E02Rik|Gm351	leucine rich repeat containing 55	protein-coding
241	chr17	19356071	19356254	+	0	NA	Intergenic	RLTR45|LTR|ERVK	-5973	NM_001104551	665376	Mm.469859	NM_001104551	ENSMUSG00000090304	Vmn2r99	EG665376	vomeronasal 2, receptor 99	protein-coding
235	chr17	18458263	18458696	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	34375	NM_001102581	328759	Mm.469839	NM_001102581	ENSMUSG00000091631	Vmn2r95	-	vomeronasal 2, receptor 95	protein-coding
162	chr11	90241893	90242130	+	0	NA	Intergenic	Intergenic	-7465	NM_026178	67468	Mm.277518	NM_026178	ENSMUSG00000003948	Mmd	1200017E07Rik|1810073C06Rik|AA690185	monocyte to macrophage differentiation-associated	protein-coding
2	chr1	34478971	34479207	+	0	NA	Intergenic	Intergenic	-19323	NM_009355	21755	Mm.10725	NM_009355	ENSMUSG00000026125	Prss39	Tesp1	protease, serine 39	protein-coding
91	chr6	10690531	10691048	+	0	NA	Intergenic	IAPEz-int|LTR|ERVK	283589	NR_033776	57866	Mm.4397	NR_033776		AA545190	-	EST AA545190	ncRNA
114	chr7	84346726	84346898	+	0	NA	intron (NM_007488, intron 4 of 18)	intron (NM_007488, intron 4 of 18)	63226	NM_007488	11864	Mm.38594	NM_007488	ENSMUSG00000015709	Arnt2	Hif-2b|bHLHe1|mKIAA0307	aryl hydrocarbon receptor nuclear translocator 2	protein-coding
19	chr1	192605298	192605551	+	0	NA	intron (NM_144881, intron 9 of 11)	intron (NM_144881, intron 9 of 11)	165795	NM_144881	226861	Mm.145857	NM_144881	ENSMUSG00000037375	Hhat	2810432O22Rik|AI462858|AP-2CRE|Skn|Tg(TFAP2A-cre)1Will	hedgehog acyltransferase	protein-coding
77	chr5	37523011	37523413	+	0	NA	intron (NM_022416, intron 4 of 11)	intron (NM_022416, intron 4 of 11)	184734	NM_145920	68525	Mm.25506	NM_145920	ENSMUSG00000050248	Evc2	1110017L09Rik|Lbn|limbin	EvC ciliary complex subunit 2	protein-coding
31	chr2	92832083	92832372	+	0	NA	Intergenic	Intergenic	-82874	NM_030725	80976	Mm.33490	NM_030725	ENSMUSG00000027220	Syt13	5730409J20Rik|AI549909|mKIAA1427	synaptotagmin XIII	protein-coding
121	chr7	136041991	136042200	+	0	NA	Intergenic	Intergenic	-226229	NR_102277	77383	Mm.227745	NR_102277	ENSMUSG00000110027	C030029H02Rik	-	RIKEN cDNA C030029H02 gene	ncRNA
176	chr12	49374702	49374946	+	0	NA	Intergenic	Intergenic	-8059	NM_001160112	15228	Mm.4704	NM_008241	ENSMUSG00000020950	Foxg1	2900064B05Rik|BF-1|Bf1|Hfh9|Hfhbf1	forkhead box G1	protein-coding
158	chr11	63146569	63146921	+	0	NA	intron (NM_001302261, intron 2 of 3)	intron (NM_001302261, intron 2 of 3)	13942	NM_001302260	18858	Mm.1237	NM_008885	ENSMUSG00000018217	Pmp22	22kDa|Gas-3|HNPP|TRE002|Tr|trembler	peripheral myelin protein 22	protein-coding
258	chr18	67343678	67343848	+	0	NA	5' UTR (NM_007702, exon 1 of 5)	5' UTR (NM_007702, exon 1 of 5)	199	NM_007702	12683	Mm.449	NM_007702	ENSMUSG00000024526	Cidea	AW212747	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	protein-coding
267	chrX	107096359	107096538	+	0	NA	intron (NM_172435, intron 2 of 2)	intron (NM_172435, intron 2 of 2)	7115	NM_172435	78826	Mm.74639	NM_172435	ENSMUSG00000050921	P2ry10	5830408N17Rik|Lypsr2|P2Y10	purinergic receptor P2Y, G-protein coupled 10	protein-coding
173	chr11	115670641	115670873	+	0	NA	intron (NM_008163, intron 2 of 5)	intron (NM_008163, intron 2 of 5)	28777	NM_001313937	14784	Mm.439649	NM_008163	ENSMUSG00000059923	Grb2	AA408164|Ash	growth factor receptor bound protein 2	protein-coding
18	chr1	187021788	187022035	+	0	NA	Intergenic	L1M5|LINE|L1	54495	NM_033077	110957	Mm.108054	NM_033077	ENSMUSG00000039224	D1Pas1	Pl10	DNA segment, Chr 1, Pasteur Institute 1	protein-coding
268	chrX	139519326	139519834	+	0	NA	intron (NM_001358686, intron 9 of 12)	intron (NM_001358686, intron 9 of 12)	39213	NM_175326	102871	Mm.26565	NM_175326	ENSMUSG00000042498	Radx	AI132325|D330045A20Rik	RPA1 related single stranded DNA binding protein, X-linked	protein-coding
142	chr9	115358392	115358738	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	22404	NR_040730	73856	Mm.399156	NR_040730		4930428G15Rik	-	RIKEN cDNA 4930428G15 gene	ncRNA
134	chr9	71543557	71544055	+	0	NA	intron (NM_001033208, intron 10 of 12)	intron (NM_001033208, intron 10 of 12)	48554	NM_001033208	102371	Mm.27585	NM_001033208	ENSMUSG00000041361	Myzap	AA407270|AV006038|Gcom1|Gm20502|Gm640|Grinl1a7|Myozap	myocardial zonula adherens protein	protein-coding
141	chr9	107479827	107480115	+	0	NA	intron (NM_001174050, intron 3 of 37)	intron (NM_001174050, intron 3 of 37)	-53974	NM_019704	56395	Mm.260153	NM_019704	ENSMUSG00000010045	Tmem115	C78915|Pl6|Pp6	transmembrane protein 115	protein-coding
69	chr4	108798618	108798843	+	0	NA	Intergenic	(CTTA)n|Simple_repeat|Simple_repeat	-17642	NM_001347163	230597	Mm.196776	NM_183300	ENSMUSG00000034557	Zfyve9	Madhip|NSP|SARA|SMADIP	zinc finger, FYVE domain containing 9	protein-coding
238	chr17	18947079	18947755	+	0	NA	exon (NM_001104549, exon 6 of 6)	exon (NM_001104549, exon 6 of 6)	33095	NM_001104549	627367	Mm.384131	NM_001104549	ENSMUSG00000091491	Vmn2r97	EG627367|Vn2r97	vomeronasal 2, receptor 97	protein-coding
83	chr5	103311243	103311702	+	0	NA	Intergenic	Intergenic	-12443	NR_040699	74624	Mm.389662	NR_040699	ENSMUSG00000104956	4930429D17Rik	-	RIKEN cDNA 4930429D17 gene	ncRNA
