PeakID (cmd=annotatePeaks.pl DN1_less_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
504	chr4	99910529	99910825	+	0	NA	intron (NM_145549, intron 10 of 11)	intron (NM_145549, intron 10 of 11)	-18774	NM_028132	72157	Mm.217764	NM_028132	ENSMUSG00000025791	Pgm2	2610020G18Rik|AA407108|AI098105|Pgm-2|Pgm1	phosphoglucomutase 2	protein-coding
890	chr7	98076908	98077074	+	0	NA	exon (NM_001256081, exon 24 of 49)	exon (NM_001256081, exon 24 of 49)	32257	NM_001256083	17921	Mm.1403	NM_008663	ENSMUSG00000030761	Myo7a	Hdb|Myo7|USH1B|nmf371|polka|sh-1|sh1	myosin VIIA	protein-coding
1517	chr13	97470130	97470333	+	0	NA	intron (NR_110432, intron 1 of 1)	intron (NR_110432, intron 1 of 1)	-12470	NR_110430	100039691	Mm.219358	NR_110430	ENSMUSG00000078952	Lncenc1	Gm11019|Gm2373|Lincenc1|Platr18|linc-Enc1	long non-coding RNA, embryonic stem cells expressed 1	ncRNA
1755	chr16	94328470	94328694	+	0	NA	exon (NM_133229, exon 1 of 4)	exon (NM_133229, exon 1 of 4)	160	NM_133229	170765	Mm.42604	NM_133229	ENSMUSG00000022941	Ripply3	Dscr6	ripply transcriptional repressor 3	protein-coding
378	chr3	97393318	97393548	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	17746	NM_146275	258272	Mm.377406	NM_146275	ENSMUSG00000051392	Olfr1402	MOR217-1	olfactory receptor 1402	protein-coding
1350	chr12	21430305	21430586	+	0	NA	Intergenic	ORR1D2|LTR|ERVL-MaLR	-13009	NM_011739	22630	Mm.289630	NM_011739	ENSMUSG00000076432	Ywhaq	2700028P07Rik|AA409740|AU021156|R74690	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	protein-coding
1542	chr14	16641766	16641958	+	0	NA	intron (NM_001289760, intron 2 of 9)	ERVB4_1-I_MM-int|LTR|ERVK	-66386	NM_011243	218772	Mm.259318	NM_011243	ENSMUSG00000017491	Rarb	A830025K23|Hap|Nr1b2	retinoic acid receptor, beta	protein-coding
1556	chr14	34548523	34548795	+	0	NA	intron (NM_001039072, intron 10 of 14)	intron (NM_001039072, intron 10 of 14)	-25858	NM_030062	78243	Mm.117483	NM_030062	ENSMUSG00000021797	9230112D13Rik	-	RIKEN cDNA 9230112D13 gene	protein-coding
252	chr2	122156201	122156367	+	0	NA	intron (NM_026251, intron 2 of 17)	intron (NM_026251, intron 2 of 17)	-4416	NM_080510	70928	Mm.379188	NM_080510	ENSMUSG00000033368	Trim69	4921519C19Rik|Rnf36|Trif|Trimless	tripartite motif-containing 69	protein-coding
102	chr1	147243219	147243402	+	0	NA	Intergenic	RMER1B|Other|Other	745623	NM_001357572	215378	Mm.441817	NM_153539	ENSMUSG00000035131	Brinp3	B830045N13Rik|Fam5c	bone morphogenetic protein/retinoic acid inducible neural specific 3	protein-coding
139	chr1	188056079	188056329	+	0	NA	intron (NM_001357536, intron 3 of 7)	PB1D10|SINE|Alu	-47214	NR_038007	320272	Mm.446274	NR_038007	ENSMUSG00000103577	9330162B11Rik	-	RIKEN cDNA 9330162B11 gene	ncRNA
1075	chr9	46009537	46009753	+	0	NA	intron (NM_001357241, intron 1 of 5)	ORR1F|LTR|ERVL-MaLR	3045	NM_001357241	18475	Mm.200859	NM_008775	ENSMUSG00000003131	Pafah1b2	2610005M20Rik|AI747451|AU021353|Pafahb|mus[b]	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2	protein-coding
1917	chr18	32407207	32407571	+	0	NA	intron (NM_001360876, intron 2 of 17)	intron (NM_001360876, intron 2 of 17)	-29105	NR_045403	402767	Mm.385109	NR_045403		A830052D11Rik	-	RIKEN cDNA A830052D11 gene	ncRNA
1769	chr17	7184610	7184927	+	0	NA	intron (NM_011299, intron 1 of 20)	intron (NM_011299, intron 1 of 20)	14653	NM_011299	20112	Mm.268383	NM_011299	ENSMUSG00000023809	Rps6ka2	90kDa|D17Wsu134e|Rps6ka-rs1|Rsk3|p90rsk|pp90rsk	ribosomal protein S6 kinase, polypeptide 2	protein-coding
1647	chr15	30864597	30864801	+	0	NA	intron (NM_008729, intron 12 of 22)	intron (NM_008729, intron 12 of 22)	-174427	NR_045186	73784	Mm.66947	NR_045186	ENSMUSG00000115474	4930430F21Rik	-	RIKEN cDNA 4930430F21 gene	ncRNA
527	chr4	120716729	120716924	+	0	NA	intron (NM_001081142, intron 3 of 13)	intron (NM_001081142, intron 3 of 13)	30573	NM_001081142	60613	Mm.249977	NM_001081142	ENSMUSG00000028631	Kcnq4	-	potassium voltage-gated channel, subfamily Q, member 4	protein-coding
10	chr1	21161811	21161981	+	0	NA	Intergenic	Intergenic	-56679	NM_001290679	75712	Mm.304763	NM_029398	ENSMUSG00000025933	Tmem14a	5730496E24Rik|C85783|PTD011	transmembrane protein 14A	protein-coding
1790	chr17	24007065	24007309	+	0	NA	Intergenic	Intergenic	-9087	NM_133731	70835	Mm.157351	NM_133731	ENSMUSG00000045027	Prss22	4733401N09Rik|BSSP-4|SP001LA	protease, serine 22	protein-coding
785	chr6	127993938	127994163	+	0	NA	intron (NM_175414, intron 3 of 8)	intron (NM_175414, intron 3 of 8)	106428	NM_026743	68498	Mm.174368	NM_026743	ENSMUSG00000030351	Tspan11	1110014F12Rik|AU067806	tetraspanin 11	protein-coding
1093	chr9	75546963	75547182	+	0	NA	intron (NM_001357828, intron 1 of 10)	intron (NM_001357828, intron 1 of 10)	12585	NM_016963	50875	Mm.38445	NM_016963	ENSMUSG00000058587	Tmod3	U-Tmod|UTMOD	tropomodulin 3	protein-coding
373	chr3	90388138	90388379	+	0	NA	intron (NM_001316688, intron 3 of 9)	URR1A|DNA|hAT-Charlie	1680	NM_001316688	26568	Mm.45519	NM_011988	ENSMUSG00000027932	Slc27a3	Acsvl3|FATP-3|FATP3|Vlcs-3	solute carrier family 27 (fatty acid transporter), member 3	protein-coding
780	chr6	124477715	124477992	+	0	NA	Intergenic	CYRA11_Mm|Unknown|Y-chromosome	-13069	NM_153508	232370	Mm.193701	NM_153508	ENSMUSG00000008153	Clstn3	CSTN3|Cs3|Cst-3|alc-beta	calsyntenin 3	protein-coding
312	chr2	168170312	168170646	+	0	NA	Intergenic	Intergenic	-15966	NR_040327	77017	Mm.407822	NR_040327	ENSMUSG00000087648	E130018N17Rik	-	RIKEN cDNA E130018N17 gene	ncRNA
1184	chr10	75187403	75187616	+	0	NA	Intergenic	Intergenic	-24564	NM_153406	74392	Mm.27716	NM_153406	ENSMUSG00000033444	Specc1l	4930470P14Rik|4932439K10Rik|9530057A13Rik|AI317249|Cytsa|mKIAA0376	sperm antigen with calponin homology and coiled-coil domains 1-like	protein-coding
1078	chr9	50833913	50834186	+	0	NA	intron (NR_045601, intron 13 of 13)	intron (NR_045601, intron 13 of 13)	-22875	NM_001034085	73699	Mm.7726	NM_028614	ENSMUSG00000032058	Ppp2r1b	2410091N08Rik|AI790395	protein phosphatase 2, regulatory subunit A, beta	protein-coding
718	chr6	52813820	52814017	+	0	NA	intron (NM_173406, intron 2 of 4)	intron (NM_173406, intron 2 of 4)	95702	NM_001168277	231986	Mm.386865	NM_173406	ENSMUSG00000063568	Jazf1	AI591476|C820002C15|Jaz1|Tip27	JAZF zinc finger 1	protein-coding
319	chr3	9600685	9600926	+	0	NA	intron (NM_133218, intron 1 of 8)	intron (NM_133218, intron 1 of 8)	9280	NM_133218	170753	Mm.212908	NM_133218	ENSMUSG00000040209	Zfp704	C030026M03|C030034L19Rik|Gig1|Znf704	zinc finger protein 704	protein-coding
398	chr3	121547817	121548340	+	0	NA	Intergenic	Intergenic	-15734	NM_145394	213603	Mm.33062	NM_145394	ENSMUSG00000039865	Slc44a3	BC010552	solute carrier family 44, member 3	protein-coding
339	chr3	41169805	41170115	+	0	NA	Intergenic	Intergenic	-86914	NM_027558	70804	Mm.40321	NM_027558	ENSMUSG00000049940	Pgrmc2	4631434O19Rik|5730409G06Rik|DG6|PMBP	progesterone receptor membrane component 2	protein-coding
146	chr2	3144789	3145018	+	0	NA	intron (NM_001347067, intron 1 of 7)	RLTR14|LTR|ERV1	26218	NM_001347067	269233	Mm.23044	NM_001081161	ENSMUSG00000050530	Fam171a1	9630050M13Rik|AA409679	family with sequence similarity 171, member A1	protein-coding
210	chr2	70474061	70474374	+	0	NA	promoter-TSS (NM_022435)	promoter-TSS (NM_022435)	-706	NM_022435	64406	Mm.423397	NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding
1284	chr11	59872243	59872552	+	0	NA	intron (NM_134029, intron 3 of 4)	intron (NM_134029, intron 3 of 4)	24324	NM_134029	103850	Mm.41761	NM_134029	ENSMUSG00000032615	Nt5m	2010013E09Rik|AI846937|dNT-2	5',3'-nucleotidase, mitochondrial	protein-coding
1268	chr11	33088040	33088739	+	0	NA	Intergenic	Intergenic	59011	NM_008005	14172	Mm.339812	NM_008005	ENSMUSG00000057967	Fgf18	D130055P09Rik|FGF-18	fibroblast growth factor 18	protein-coding
1609	chr14	76913972	76914158	+	0	NA	Intergenic	Intergenic	122552	NM_172488	210808	Mm.89278	NM_172488	ENSMUSG00000044350	Lacc1	9030625A04Rik	laccase domain containing 1	protein-coding
371	chr3	89887718	89887965	+	0	NA	intron (NM_001310676, intron 3 of 9)	intron (NM_001310676, intron 3 of 9)	25355	NM_001310676	16194	Mm.2856	NM_010559	ENSMUSG00000027947	Il6ra	CD126|IL-6R|IL-6R-alpha|IL-6RA|Il6r	interleukin 6 receptor, alpha	protein-coding
615	chr5	72580406	72580884	+	0	NA	TTS (NR_163693)	TTS (NR_163693)	439	NM_174877	317755	Mm.11934	NM_174877	ENSMUSG00000063935	Zar1	-	zygote arrest 1	protein-coding
2026	chrX	101755067	101755248	+	0	NA	Intergenic	Intergenic	-21010	NM_009910	12766	Mm.12876	NM_009910	ENSMUSG00000050232	Cxcr3	Cd183|Cmkar3	chemokine (C-X-C motif) receptor 3	protein-coding
1127	chr10	8934011	8934282	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-48076	NM_175155	70097	Mm.338275	NM_175155	ENSMUSG00000015305	Sash1	1100001C18Rik|2500002E12Rik|A330076K04Rik|mKIAA0790	SAM and SH3 domain containing 1	protein-coding
763	chr6	108517553	108517811	+	0	NA	intron (NM_010585, intron 57 of 61)	intron (NM_010585, intron 57 of 61)	27939	NR_106121	102465766		NR_106121	ENSMUSG00000105697	Mir7661	mmu-mir-7661	microRNA 7661	ncRNA
549	chr4	145267797	145268029	+	0	NA	3' UTR (NM_009401, exon 13 of 13)	3' UTR (NM_009401, exon 13 of 13)	-21043	NM_011610	21938	Mm.235328	NM_011610	ENSMUSG00000028599	Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding
1614	chr14	86215816	86215987	+	0	NA	Intergenic	Intergenic	-30069	NR_040457	75155	Mm.399239	NR_040457	ENSMUSG00000115271	4930529K09Rik	4930507G21Rik	RIKEN cDNA 4930529K09 gene	ncRNA
1305	chr11	94570708	94570968	+	0	NA	intron (NM_153807, intron 6 of 15)	intron (NM_153807, intron 6 of 15)	5791	NM_007689	12643	Mm.440523	NM_007689	ENSMUSG00000039084	Chad	SLRR4A	chondroadherin	protein-coding
770	chr6	115560072	115560283	+	0	NA	intron (NM_199033, intron 5 of 11)	intron (NM_199033, intron 5 of 11)	15486	NM_199033	381802	Mm.291208	NM_199033	ENSMUSG00000042389	Tsen2	AU067695	tRNA splicing endonuclease subunit 2	protein-coding
1385	chr12	77019979	77020327	+	0	NA	Intergenic	Intergenic	-57905	NM_008558	17187	Mm.268548	NM_008558	ENSMUSG00000059436	Max	AA960152|AI875693|bHLHd4|bHLHd5|bHLHd6|bHLHd7|bHLHd8	Max protein	protein-coding
586	chr5	30012979	30013275	+	0	NA	promoter-TSS (NM_001314054)	promoter-TSS (NM_001314054)	13	NM_001314054	16193	Mm.1019	NM_031168	ENSMUSG00000025746	Il6	Il-6	interleukin 6	protein-coding
1621	chr14	103785182	103785520	+	0	NA	Intergenic	Intergenic	58350	NM_007904	13618	Mm.229532	NM_007904	ENSMUSG00000022122	Ednrb	ET-B|ET-BR|ETR-b|ETb|Sox10m1	endothelin receptor type B	protein-coding
851	chr7	47341510	47341681	+	0	NA	intron (NM_153095, intron 1 of 1)	intron (NM_153095, intron 1 of 1)	12645	NM_153095	233221	Mm.389895	NM_153095	ENSMUSG00000050650	Mrgpra1	MrgA1	MAS-related GPR, member A1	protein-coding
934	chr8	8906273	8906531	+	0	NA	Intergenic	Intergenic	-215865	NM_176849	234023	Mm.251655	NM_176849	ENSMUSG00000040459	Arglu1	9430010O03Rik|C130008N12	arginine and glutamate rich 1	protein-coding
482	chr4	82500659	82500962	+	0	NA	intron (NM_001113209, intron 1 of 11)	intron (NM_001113209, intron 1 of 11)	4969	NM_001113209	18028	Mm.317947	NM_008687	ENSMUSG00000008575	Nfib	6720429L07Rik|CTF|E030026I10Rik|NF-I/B|NF1-B|NFI-B	nuclear factor I/B	protein-coding
523	chr4	116192456	116192652	+	0	NA	Intergenic	Intergenic	19182	NM_001099295	67323	Mm.45442	NM_001099295	ENSMUSG00000078593	1700042G07Rik	P3r3urf	RIKEN cDNA 1700042G07 gene	protein-coding
156	chr2	13727248	13727452	+	0	NA	intron (NM_145838, intron 2 of 7)	intron (NM_145838, intron 2 of 7)	66170	NM_145838	241230	Mm.330004	NM_145838	ENSMUSG00000003418	St8sia6	1700007J08Rik|AI314453|AI875066|ST8SiaVI|Siat8f	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding
31	chr1	52133249	52133429	+	0	NA	intron (NM_009283, intron 6 of 24)	intron (NM_009283, intron 6 of 24)	13717	NM_001205313	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding
1193	chr10	81464414	81464664	+	0	NA	intron (NM_176954, intron 9 of 11)	CpG-1367	8592	NM_001311127	319586	Mm.152689	NM_176954	ENSMUSG00000034818	Celf5	4930565A21Rik|Brunol5	CUGBP, Elav-like family member 5	protein-coding
595	chr5	43818829	43819095	+	0	NA	promoter-TSS (NM_009763)	promoter-TSS (NM_009763)	69	NM_009763	12182	Mm.246332	NM_009763	ENSMUSG00000029082	Bst1	114/A10|A530073F09|BP-3|Bp3|Bsta1|CD157|Ly65	bone marrow stromal cell antigen 1	protein-coding
1123	chr10	4992102	4992294	+	0	NA	intron (NM_007956, intron 7 of 8)	ORR1D2|LTR|ERVL-MaLR	76865	NM_022027	64009	Mm.331626	NM_022027	ENSMUSG00000096054	Syne1	8B|A330049M09Rik|BE692247|C130039F11Rik|CPG2|KASH1|Myne1|mKIAA1756|myne-1	spectrin repeat containing, nuclear envelope 1	protein-coding
229	chr2	93036110	93036493	+	0	NA	intron (NM_001177536, intron 1 of 6)	intron (NM_001177536, intron 1 of 6)	6953	NR_110333	433456	Mm.235231	NM_001002794	ENSMUSG00000075027	4631405J19Rik	-	RIKEN cDNA 4631405J19 gene	ncRNA
1912	chr18	24304286	24304485	+	0	NA	Intergenic	RMER1B|Other|Other	-34981	NR_152129	328919	Mm.118671	NR_152129	ENSMUSG00000117570	Gm38410	9530053H22	predicted gene, 38410	ncRNA
246	chr2	118499251	118499863	+	0	NA	Intergenic	Intergenic	-19861	NM_009273	20813	Mm.363404	NM_009273	ENSMUSG00000009549	Srp14	14kDa|AW536328	signal recognition particle 14	protein-coding
434	chr4	9689366	9689703	+	0	NA	Intergenic	Intergenic	-20190	NM_001290367	65973	Mm.222206	NM_023066	ENSMUSG00000028207	Asph	2310005F16Rik|3110001L23Rik|AI848629|AW261690|AW561901|BAH|C79816|cI-37	aspartate-beta-hydroxylase	protein-coding
723	chr6	58903422	58903615	+	0	NA	3' UTR (NM_001361967, exon 23 of 23)	3' UTR (NM_001361967, exon 23 of 23)	3608	NM_021432	58243	Mm.389747	NM_021432	ENSMUSG00000055430	Nap1l5	1110020M21Rik	nucleosome assembly protein 1-like 5	protein-coding
57	chr1	89871236	89871770	+	0	NA	intron (NM_001037136, intron 15 of 16)	intron (NM_001037136, intron 15 of 16)	59673	NM_010262	14472	Mm.204730	NM_010262	ENSMUSG00000034486	Gbx2	D130058E05Rik|Gbx-2|MMoxA|Stra7	gastrulation brain homeobox 2	protein-coding
1677	chr15	69078041	69078339	+	0	NA	intron (NM_010158, intron 7 of 8)	intron (NM_010158, intron 7 of 8)	149770	NM_010158	13992	Mm.17964	NM_010158	ENSMUSG00000022332	Khdrbs3	Etle|SLM-2|Salp|Slm2|T-STAR	KH domain containing, RNA binding, signal transduction associated 3	protein-coding
1319	chr11	112414059	112414269	+	0	NA	Intergenic	Intergenic	297192	NR_024085	217294	Mm.297761	NM_146031	ENSMUSG00000041674	BC006965	-	cDNA sequence BC006965	ncRNA
1395	chr12	85541065	85541436	+	0	NA	Intergenic	Intergenic	-57855	NM_001205052	81703	Mm.103560	NM_030887	ENSMUSG00000034271	Jdp2	Jundm2|Jundp2|TIF	Jun dimerization protein 2	protein-coding
1566	chr14	47077038	47077272	+	0	NA	intron (NM_001310544, intron 2 of 7)	intron (NM_001310544, intron 2 of 7)	8178	NM_001310544	74480	Mm.214454	NM_028966	ENSMUSG00000021838	Samd4	1700024G08Rik|1700111L17Rik|4933436G17Rik|Samd4a|Smaug|Smaug1|sunk	sterile alpha motif domain containing 4	protein-coding
1345	chr12	17737678	17738003	+	0	NA	intron (NM_016677, intron 1 of 3)	intron (NM_016677, intron 1 of 3)	47031	NM_016677	53602	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVL-3|NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding
187	chr2	45629802	45629992	+	0	NA	Intergenic	Intergenic	-66708	NR_040497	69405	Mm.396184	NR_040497	ENSMUSG00000086202	1700019E08Rik	-	RIKEN cDNA 1700019E08 gene	ncRNA
1429	chr12	117756051	117756251	+	0	NA	3' UTR (NM_175930, exon 28 of 28)	3' UTR (NM_175930, exon 28 of 28)	-87710	NM_146040	217946	Mm.281149	NM_146040	ENSMUSG00000021175	Cdca7l	BC006933|JPO2	cell division cycle associated 7 like	protein-coding
1293	chr11	72267193	72267399	+	0	NA	promoter-TSS (NM_001004148)	promoter-TSS (NM_001004148)	452	NR_045922	73366	Mm.396157	NR_045922	ENSMUSG00000086951	1700051A21Rik	-	RIKEN cDNA 1700051A21 gene	ncRNA
1142	chr10	24635769	24636222	+	0	NA	Intergenic	MRLTR33|LTR|ERVK	-40192	NR_163910								
483	chr4	82624463	82624627	+	0	NA	Intergenic	Intergenic	116556	NR_137202	102635783	Mm.41666	NR_137202		Gm11266	-	predicted gene 11266	ncRNA
1482	chr13	51975299	51975646	+	0	NA	Intergenic	Intergenic	-121269	NR_045061	74050	Mm.84860	NR_045061	ENSMUSG00000113211	4921525O09Rik	-	RIKEN cDNA 4921525O09 gene	ncRNA
155	chr2	11690378	11690560	+	0	NA	3' UTR (NM_008367, exon 8 of 8)	3' UTR (NM_008367, exon 8 of 8)	-14824	NR_073191	16169	Mm.200196	NM_008358	ENSMUSG00000023206	Il15ra	AA690181|IL-15RA	interleukin 15 receptor, alpha chain	protein-coding
90	chr1	130550880	130551171	+	0	NA	Intergenic	Intergenic	78581	NM_009581	22789	Mm.4644	NM_009581	ENSMUSG00000042554	Zp3r	AV264399|SP56	zona pellucida 3 receptor	protein-coding
978	chr8	72504727	72505093	+	0	NA	intron (NM_027485, intron 1 of 2)	intron (NM_027485, intron 1 of 2)	-12296	NM_177766	270066	Mm.291461	NM_177766	ENSMUSG00000019731	Slc35e1	6030458H05|AA408278	solute carrier family 35, member E1	protein-coding
1243	chr11	6154440	6154661	+	0	NA	intron (NM_173748, intron 2 of 5)	intron (NM_173748, intron 2 of 5)	18781	NR_029471	100042173	Mm.441799	NR_029471		Rps15a-ps6	Gm11968	ribosomal protein S15A, pseudogene 6	pseudo
1938	chr18	57222164	57222463	+	0	NA	intron (NM_001001979, intron 5 of 24)	LTR41|LTR|ERVL	89223	NM_001001979	70417	Mm.297863	NM_001001979	ENSMUSG00000024593	Megf10	3000002B06Rik|Gm331	multiple EGF-like-domains 10	protein-coding
2014	chrX	36744868	36745067	+	0	NA	intron (NR_075097, intron 1 of 3)	intron (NR_075097, intron 1 of 3)	1335	NR_075097	194744	Mm.336014	NM_001085497	ENSMUSG00000037636	Slc25a43	Gm8	solute carrier family 25, member 43	protein-coding
1233	chr10	127611494	127611682	+	0	NA	intron (NM_008512, intron 2 of 88)	intron (NM_008512, intron 2 of 88)	9560	NM_008512	16971	Mm.271854	NM_008512	ENSMUSG00000040249	Lrp1	A2mr|AI316852|CD91|Lrp|b2b1554Clo	low density lipoprotein receptor-related protein 1	protein-coding
901	chr7	116039571	116039757	+	0	NA	promoter-TSS (NM_001025559)	promoter-TSS (NM_001025559)	-920	NM_001025559	20679	Mm.323365	NM_011445	ENSMUSG00000051910	Sox6	AI987981|SOX-LZ	SRY (sex determining region Y)-box 6	protein-coding
466	chr4	53256939	53257143	+	0	NA	Intergenic	Intergenic	8451	NR_033140	381524	Mm.23351	NM_001033454	ENSMUSG00000086712	AI427809	Gm1659|MeXis	expressed sequence AI427809	ncRNA
669	chr5	144277288	144277635	+	0	NA	intron (NR_040432, intron 1 of 2)	intron (NR_040432, intron 1 of 2)	400	NR_040432	100504231	Mm.441035	NR_040432	ENSMUSG00000086894	Gm15708	-	predicted gene 15708	ncRNA
1935	chr18	55303490	55303656	+	0	NA	Intergenic	Intergenic	-310982	NM_001360787	269023	Mm.192984	NM_175751	ENSMUSG00000052713	Zfp608	4932417D18Rik|D430007A19Rik|Znf608	zinc finger protein 608	protein-coding
274	chr2	144330823	144331317	+	0	NA	exon (NM_026924, exon 2 of 4)	exon (NM_026924, exon 2 of 4)	292	NM_152947	107586	Mm.252750	NM_026924	ENSMUSG00000037279	Ovol2	1700108N11Rik|1810007D21Rik|M-OVO|M-OVO-A|M-OVO-B|MOVO|Ovo2|Zfp339|movo2	ovo like zinc finger 2	protein-coding
1217	chr10	109010863	109011248	+	0	NA	promoter-TSS (NM_009306)	promoter-TSS (NM_009306)	-80	NM_009306	20979	Mm.289702	NM_009306	ENSMUSG00000035864	Syt1	AW124717|G630098F17Rik|SytI	synaptotagmin I	protein-coding
1958	chr18	81210828	81211122	+	0	NA	Intergenic	Intergenic	-223954	NM_001369133	20689	Mm.215917	NM_178280	ENSMUSG00000024565	Sall3	B130022O04Rik|Msal|Msal-1|Sal|Salt|Spalt	spalt like transcription factor 3	protein-coding
571	chr5	15518607	15518790	+	0	NA	Intergenic	RMER6C|LTR|ERVK	10524	NM_001310449	100861755	Mm.382859	NM_001310449	ENSMUSG00000106445	Gm21190	-	predicted gene, 21190	protein-coding
567	chr5	12564799	12565017	+	0	NA	intron (NM_028882, intron 12 of 17)	intron (NM_028882, intron 12 of 17)	181742	NM_028882	108151	Mm.89313	NM_028882	ENSMUSG00000040254	Sema3d	4631426B19Rik	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	protein-coding
1151	chr10	37304476	37304894	+	0	NA	Intergenic	Intergenic	-165759	NM_008538	17118	Mm.30059	NM_008538	ENSMUSG00000069662	Marcks	Macs|PKCSL	myristoylated alanine rich protein kinase C substrate	protein-coding
647	chr5	109419540	109419802	+	0	NA	promoter-TSS (NM_001104628)	promoter-TSS (NM_001104628)	-342	NM_001104628	384221	Mm.469879	NM_001104628	ENSMUSG00000091879	Vmn2r17	EG384221	vomeronasal 2, receptor 17	protein-coding
1074	chr9	45294615	45294821	+	0	NA	Intergenic	Intergenic	-24382	NM_001013373	214531	Mm.394987	NM_001013373	ENSMUSG00000037129	Tmprss13	BC010843|Tpmrss13	transmembrane protease, serine 13	protein-coding
1946	chr18	65626469	65626716	+	0	NA	intron (NM_207255, intron 3 of 5)	intron (NM_207255, intron 3 of 5)	-6977	NR_105742	100526497		NR_105742	ENSMUSG00000077113	Mir466p	mmu-mir-466p	microRNA 466p	ncRNA
