PeakID (cmd=annotatePeaks.pl runx1_less_accessible.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
185	chr8	120269057	120269248	+	0	NA	Intergenic	Intergenic	-40922	NR_110496	434353	Mm.411793	NR_110496	ENSMUSG00000097960	A330074K22Rik	-	RIKEN cDNA A330074K22 gene	ncRNA
228	chr12	81751213	81751528	+	0	NA	intron (NM_177395, intron 2 of 7)	ID_B1|SINE|B4	29800	NM_177395	338372	Mm.35284	NM_177395	ENSMUSG00000042724	Map3k9	E130314H24Rik|Mlk1|Prke1	mitogen-activated protein kinase kinase kinase 9	protein-coding
187	chr9	11513629	11514135	+	0	NA	Intergenic	ERVB4_3-LTR_MM|LTR|ERVK	-609107	NM_001170787	244682	Mm.187021	NM_001033359	ENSMUSG00000039488	Cntn5	6720426O10Rik|A830025P08Rik|Gm507|NB-2	contactin 5	protein-coding
310	chr17	86881477	86881758	+	0	NA	Intergenic	Intergenic	-35731	NM_001277980	78469	Mm.67234	NM_030104	ENSMUSG00000037689	Tmem247	1700090G07Rik	transmembrane protein 247	protein-coding
99	chr4	106934940	106935191	+	0	NA	intron (NM_001355532, intron 1 of 14)	intron (NM_001355532, intron 1 of 14)	11880	NM_001355532	72475	Mm.195635	NM_023672	ENSMUSG00000061887	Ssbp3	2610021L12Rik|2610200M23Rik|5730488C10Rik|AI854733|AW551939|LAST|SSDP1	single-stranded DNA binding protein 3	protein-coding
197	chr10	19991306	19991484	+	0	NA	intron (NM_008580, intron 1 of 29)	intron (NM_008580, intron 1 of 29)	56869	NM_008580	26408	Mm.6595	NM_008580	ENSMUSG00000071369	Map3k5	7420452D20Rik|ASK|ASK1|MAPKKK5|Mekk5	mitogen-activated protein kinase kinase kinase 5	protein-coding
337	chrX	135073447	135073798	+	0	NA	Intergenic	Intergenic	-13286	NR_040282	320606	Mm.439072	NR_040281	ENSMUSG00000089759	3632454L22Rik	-	RIKEN cDNA 3632454L22 gene	ncRNA
284	chr16	51352149	51352448	+	0	NA	Intergenic	Intergenic	568889	NR_131005	78639	Mm.160109	NR_131005	ENSMUSG00000092276	1700116B05Rik	-	RIKEN cDNA 1700116B05 gene	ncRNA
331	chr19	56582325	56582602	+	0	NA	intron (NM_025811, intron 5 of 10)	intron (NM_025811, intron 5 of 10)	34202	NM_025811	66866	Mm.46346	NM_025811	ENSMUSG00000025078	Nhlrc2	1200003G01Rik|AI835049|AV002846|AW496455	NHL repeat containing 2	protein-coding
89	chr4	82500659	82500962	+	0	NA	intron (NM_001113209, intron 1 of 11)	intron (NM_001113209, intron 1 of 11)	4969	NM_001113209	18028	Mm.317947	NM_008687	ENSMUSG00000008575	Nfib	6720429L07Rik|CTF|E030026I10Rik|NF-I/B|NF1-B|NFI-B	nuclear factor I/B	protein-coding
120	chr5	146238151	146238406	+	0	NA	intron (NM_153599, intron 1 of 12)	Lx5c|LINE|L1	7028	NM_153599	264064	Mm.260576	NM_153599	ENSMUSG00000029635	Cdk8	-	cyclin-dependent kinase 8	protein-coding
316	chr18	14438390	14438636	+	0	NA	Intergenic	Intergenic	206207	NR_045373	74529	Mm.400519	NR_045373	ENSMUSG00000117633	8430422H06Rik	-	RIKEN cDNA 8430422H06 gene	ncRNA
42	chr2	107988239	107988555	+	0	NA	Intergenic	Intergenic	697808	NM_021275	16492	Mm.142718	NM_021275	ENSMUSG00000042604	Kcna4	Kv1.4	potassium voltage-gated channel, shaker-related subfamily, member 4	protein-coding
144	chr6	145845724	145845904	+	0	NA	Intergenic	ID_B1|SINE|B4	19606	NM_001271768	79362	Mm.154529	NM_024469	ENSMUSG00000030256	Bhlhe41	6430520M22Rik|Bhlhb2l|Bhlhb3|DEC2|Sharp1	basic helix-loop-helix family, member e41	protein-coding
332	chrX	12577977	12578201	+	0	NA	Intergenic	Intergenic	-9670	NM_027439	70495	Mm.25148	NM_027439	ENSMUSG00000031007	Atp6ap2	(P)RR|5730403E06Rik|APT6M8-9|ATP6M8-9|Atp6ip2|M8-9|PRR	ATPase, H+ transporting, lysosomal accessory protein 2	protein-coding
214	chr11	32013134	32013375	+	0	NA	intron (NM_001290680, intron 2 of 4)	intron (NM_001290680, intron 2 of 4)	11977	NM_001290681	18197	Mm.3304	NM_008741	ENSMUSG00000020297	Nsg2	P19	neuron specific gene family member 2	protein-coding
321	chr18	62853962	62854359	+	0	NA	Intergenic	Intergenic	-68167	NM_133237	494504	Mm.24042	NM_133237	ENSMUSG00000071847	Apcdd1	AB023957|AU041258|Drapc1|EIG180	adenomatosis polyposis coli down-regulated 1	protein-coding
324	chr18	75578867	75579046	+	0	NA	intron (NM_201354, intron 6 of 11)	intron (NM_201354, intron 6 of 11)	64311	NR_045879	100038353	Mm.440724	NR_045879	ENSMUSG00000097712	Gm10532	-	predicted gene 10532	ncRNA
134	chr6	72254174	72254500	+	0	NA	Intergenic	Intergenic	-18760	NM_153778	71093	Mm.87449	NM_153778	ENSMUSG00000037621	Atoh8	4933425C05Rik|Hath6|Math6|bHLHa21|okadin	atonal bHLH transcription factor 8	protein-coding
151	chr7	66175865	66176071	+	0	NA	Intergenic	Intergenic	66476	NM_001081163	269941	Mm.333916	NM_001081163	ENSMUSG00000032640	Chsy1	-	chondroitin sulfate synthase 1	protein-coding
256	chr13	92576287	92576483	+	0	NA	promoter-TSS (NM_030237)	promoter-TSS (NM_030237)	-153	NM_030237	79401	Mm.23520	NM_030237	ENSMUSG00000046957	Spz1	1700027M20Rik|AI429130	spermatogenic leucine zipper 1	protein-coding
183	chr8	116875885	116876174	+	0	NA	Intergenic	Intergenic	45407	NM_026844	66531	Mm.4011	NM_026844	ENSMUSG00000014633	Cmc2	1110046L09Rik|2310061C15Rik|DC13	COX assembly mitochondrial protein 2	protein-coding
181	chr8	94778983	94779654	+	0	NA	intron (NM_009142, intron 2 of 2)	intron (NM_009142, intron 2 of 2)	7138	NM_009142	20312	Mm.103711	NM_009142	ENSMUSG00000031778	Cx3cl1	AB030188|ABCD-3|AI848747|CX3C|Cxc3|D8Bwg0439e|Scyd1	chemokine (C-X3-C motif) ligand 1	protein-coding
61	chr3	37788783	37789166	+	0	NA	Intergenic	B4|SINE|B4	-64614	NM_198657	381438	Mm.490549	NM_198657	ENSMUSG00000058174	Gm5148	EG381438	predicted gene 5148	protein-coding
94	chr4	95765586	95765794	+	0	NA	intron (NM_029347, intron 7 of 10)	intron (NM_029347, intron 7 of 10)	186269	NM_029347	75578	Mm.276098	NM_029347	ENSMUSG00000028573	Fggy	2310009E04Rik	FGGY carbohydrate kinase domain containing	protein-coding
60	chr3	19563577	19563748	+	0	NA	intron (NM_001163537, intron 2 of 4)	intron (NM_001163537, intron 2 of 4)	32415	NM_001163537	66326	Mm.45615	NM_025489	ENSMUSG00000027606	Dnajc5b	1700008A05Rik	DnaJ heat shock protein family (Hsp40) member C5 beta	protein-coding
59	chr3	18679801	18680015	+	0	NA	Intergenic	Intergenic	-199431	NR_040544	73959	Mm.60616	NR_040544	ENSMUSG00000102699	4930433B08Rik	-	RIKEN cDNA 4930433B08 gene	ncRNA
35	chr2	37685352	37685528	+	0	NA	Intergenic	Intergenic	2844	NR_039590	100628597		NR_039590	ENSMUSG00000092958	Mir5128	mir-5128|mmu-mir-5128|mu-mir-5128	microRNA 5128	ncRNA
204	chr10	88513769	88513943	+	0	NA	Intergenic	RLTR30B_MM|LTR|ERV1	-9886	NM_001146690	212862	Mm.288897	NM_144807	ENSMUSG00000060002	Chpt1	-	choline phosphotransferase 1	protein-coding
244	chr13	41801358	41801577	+	0	NA	intron (NM_175417, intron 4 of 6)	intron (NM_175417, intron 4 of 6)	46021	NM_175417	109254	Mm.25195	NM_175417	ENSMUSG00000058022	Adtrp	9530008L14Rik	androgen dependent TFPI regulating protein	protein-coding
28	chr2	19027157	19027440	+	0	NA	Intergenic	Intergenic	28979	NR_024323	74629	Mm.117687	NR_024323	ENSMUSG00000026736	4930426L09Rik	-	RIKEN cDNA 4930426L09 gene	ncRNA
286	chr16	72670807	72671051	+	0	NA	intron (NM_019413, intron 1 of 28)	intron (NM_019413, intron 1 of 28)	7780	NM_019413	19876	Mm.310772	NM_019413	ENSMUSG00000022883	Robo1	AW494633|AW742721|DUTT1|Gm310	roundabout guidance receptor 1	protein-coding
36	chr2	57410122	57410357	+	0	NA	Intergenic	B4|SINE|B4	171857	NM_010274	14571	Mm.3711	NM_010274	ENSMUSG00000026827	Gpd2	AA408484|AI448216|AU021455|AW494132|GPDH|Gdm1|Gpd-m|Gpdh-m|TISP38	glycerol phosphate dehydrogenase 2, mitochondrial	protein-coding
157	chr7	116703317	116703511	+	0	NA	Intergenic	Intergenic	199045	NM_001130479	53322	Mm.9901	NM_016773	ENSMUSG00000030659	Nucb2	AI607786|Calnuc|Nefa|Nesfatin-1	nucleobindin 2	protein-coding
71	chr3	122704283	122704475	+	0	NA	Intergenic	Intergenic	-24779	NM_153422	242202	Mm.134911	NM_153422	ENSMUSG00000053965	Pde5a	Cgbpde|Cn5n|PDE5a2|Pde5|Pde5a1	phosphodiesterase 5A, cGMP-specific	protein-coding
196	chr10	7630879	7631178	+	0	NA	intron (NM_001358647, intron 6 of 6)	intron (NM_001358647, intron 6 of 6)	-32343	NR_030698	320642	Mm.398806	NR_030698		A630066F11Rik	-	RIKEN cDNA A630066F11 gene	ncRNA
336	chrX	104359699	104360105	+	0	NA	intron (NM_009592, intron 1 of 15)	L1_Mur3|LINE|L1	53944	NM_009592	11306	Mm.426128	NM_009592	ENSMUSG00000031333	Abcb7	AA517758|AU019072|Abc7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	protein-coding
7	chr1	87710117	87710484	+	0	NA	intron (NR_122078, intron 21 of 27)	ID4_|SINE|ID	45446	NR_157046	102636458		NR_157046		Gm33517	-	predicted gene, 33517	ncRNA
198	chr10	20405549	20405773	+	0	NA	intron (NM_001347366, intron 11 of 11)	intron (NM_001347366, intron 11 of 11)	57842	NM_027930	71804	Mm.262151	NM_027930	ENSMUSG00000019992	Mtfr2	2610016C23Rik|4933412C16Rik|Dufd1|Fam54a	mitochondrial fission regulator 2	protein-coding
117	chr5	106678725	106678903	+	0	NA	intron (NM_026856, intron 1 of 6)	Lx9|LINE|L1	17205	NM_001363321	52397	Mm.249474	NM_026856	ENSMUSG00000049606	Zfp644	1110068L01Rik|AA408882|BM-005|D5Ertd689e|Zep-2	zinc finger protein 644	protein-coding
56	chr2	153022974	153023141	+	0	NA	Intergenic	Intergenic	-7674	NM_178939	68559	Mm.12746	NM_178939	ENSMUSG00000027472	Pdrg1	1110004D19Rik|AU020945|AV006589|Pdrg	p53 and DNA damage regulated 1	protein-coding
106	chr5	24732337	24732537	+	0	NA	Intergenic	Intergenic	-1757	NM_001081441	269633	Mm.392539	NM_026621	ENSMUSG00000055235	Wdr86	2810046M22Rik|BC059069	WD repeat domain 86	protein-coding
109	chr5	35609601	35609830	+	0	NA	intron (NM_001357020, intron 17 of 18)	intron (NM_001357020, intron 17 of 18)	-20952	NR_045807	74364	Mm.473123	NM_175208	ENSMUSG00000055061	4931431C16Rik	-	RIKEN cDNA 4931431C16 gene	ncRNA
78	chr4	10041563	10041923	+	0	NA	Intergenic	Intergenic	-124346	NR_004448	74662	Mm.483401	NR_004448	ENSMUSG00000082843	4930448K20Rik	1700009K09Rik	glyceraldehyde-3-phosphate dehydrogenase pseudogene	pseudo
34	chr2	35709117	35709427	+	0	NA	intron (NM_001001602, intron 3 of 13)	intron (NM_001001602, intron 3 of 13)	12540	NM_001290639	69601	Mm.29629	NM_001001602	ENSMUSG00000026883	Dab2ip	2310011D08Rik|AI480459|Aip1|mKIAA1743	disabled 2 interacting protein	protein-coding
170	chr8	25132231	25132417	+	0	NA	Intergenic	Intergenic	26909	NR_106187	102467006		NR_106187	ENSMUSG00000099142	Mir8108	Gm27484|mmu-mir-8108	microRNA 8108	ncRNA
164	chr8	14873775	14873994	+	0	NA	Intergenic	Intergenic	-14652	NM_012000	26889	Mm.254027	NM_012000	ENSMUSG00000026317	Cln8	mnd	ceroid-lipofuscinosis, neuronal 8	protein-coding
58	chr2	180080720	180081015	+	0	NA	intron (NM_001083329, intron 3 of 7)	intron (NM_001083329, intron 3 of 7)	10274	NM_001083329	52856	Mm.219658	NM_028422	ENSMUSG00000039069	Mtg2	1810011P19Rik|2900056P18Rik|D2Bwg0647e|Gtpbp5	mitochondrial ribosome associated GTPase 2	protein-coding
167	chr8	22728690	22728981	+	0	NA	Intergenic	ORR1D2|LTR|ERVL-MaLR	-22252	NM_010546	16150	Mm.277886	NM_010546	ENSMUSG00000031537	Ikbkb	AI132552|IKK-2|IKK-beta|IKK2|IKK[b]|IKKbeta	inhibitor of kappaB kinase beta	protein-coding
239	chr13	28556738	28556967	+	0	NA	intron (NR_045053, intron 7 of 8)	intron (NR_045053, intron 7 of 8)	154021	NR_105787	102466635		NR_105787	ENSMUSG00000099158	Mir6368	Gm27800|mmu-mir-6368	microRNA 6368	ncRNA
247	chr13	43531411	43531679	+	0	NA	Intergenic	Intergenic	28646	NM_001081059	76137	Mm.426290	NM_001081059	ENSMUSG00000021371	Mcur1	6230416A05Rik|AU015498|AV136929|AW554392|C88263|Ccdc90a	mitochondrial calcium uniporter regulator 1	protein-coding
174	chr8	61177864	61178080	+	0	NA	Intergenic	Intergenic	-46199	NM_021506	59009	Mm.27949	NM_021506	ENSMUSG00000031642	Sh3rf1	2200003J05Rik|Posh|R75531|Sh3md2	SH3 domain containing ring finger 1	protein-coding
269	chr14	119273163	119273328	+	0	NA	intron (NM_015820, intron 1 of 1)	intron (NM_015820, intron 1 of 1)	134980	NM_015820	50787	Mm.445777	NM_015820	ENSMUSG00000053465	Hs6st3	6OST3|HS6ST-3	heparan sulfate 6-O-sulfotransferase 3	protein-coding
290	chr17	6055994	6056190	+	0	NA	intron (NM_001360148, intron 10 of 15)	intron (NM_001360148, intron 10 of 15)	23647	NM_001360148	321007	Mm.5548	NM_177311	ENSMUSG00000015659	Serac1	4930511N22Rik|D17Ertd141e	serine active site containing 1	protein-coding
273	chr15	31585240	31585675	+	0	NA	intron (NM_181588, intron 4 of 5)	intron (NM_181588, intron 4 of 5)	16082	NM_001348035	12465	Mm.282158	NM_007637	ENSMUSG00000022234	Cct5	CCT-epsilon|Ccte|TCP-1-epsilon|TCPE|mKIAA0098	chaperonin containing Tcp1, subunit 5 (epsilon)	protein-coding
206	chr10	92162361	92162759	+	0	NA	intron (NR_028262, intron 2 of 12)	intron (NR_028262, intron 2 of 12)	2618	NR_028262	110333	Mm.429764	NR_028262	ENSMUSG00000112117	Rmst	100041799|AI853140|C230053E11Rik|D930049J19Rik|Dmt2|Gm3515|M2|Ncrms	rhabdomyosarcoma 2 associated transcript (non-coding RNA)	ncRNA
32	chr2	27366875	27367116	+	0	NA	intron (NR_133905, intron 1 of 29)	intron (NR_133905, intron 1 of 29)	60613	NM_009500	22325	Mm.179011	NM_009500	ENSMUSG00000009621	Vav2	2810040F13Rik|AI847175|Vav-2	vav 2 oncogene	protein-coding
137	chr6	86619950	86620245	+	0	NA	Intergenic	Intergenic	-8077	NM_026414	67855	Mm.183043	NM_026414	ENSMUSG00000033508	Asprv1	2300003P22Rik|AA986851|SASP|SASPase|Taps	aspartic peptidase, retroviral-like 1	protein-coding
153	chr7	75339604	75339791	+	0	NA	Intergenic	Intergenic	-30435	NM_153579	64176	Mm.273082	NM_153579	ENSMUSG00000053025	Sv2b	A830038F04Rik|AI850768|mKIAA0735	synaptic vesicle glycoprotein 2 b	protein-coding
268	chr14	118674837	118675009	+	0	NA	intron (NM_001033336, intron 1 of 30)	intron (NM_001033336, intron 1 of 30)	2008	NM_001163675	239273	Mm.40537	NM_001033336	ENSMUSG00000032849	Abcc4	ABCC4-N1|D630049P08Rik|MOATB|MRP4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	protein-coding
101	chr4	124983967	124984263	+	0	NA	Intergenic	Intergenic	-2315	NM_138683	192199	Mm.42202	NM_138683	ENSMUSG00000028871	Rspo1	R-spondin|Rspondin	R-spondin 1	protein-coding
97	chr4	104993008	104993374	+	0	NA	intron (NR_104376, intron 9 of 20)	intron (NR_104376, intron 9 of 20)	79630	NR_104376	242594	Mm.65181	NM_001162980	ENSMUSG00000078612	Fyb2	1700024P16Rik|ARAP|C1orf168|Gm620	FYN binding protein 2	protein-coding
237	chr13	16114607	16115069	+	0	NA	Intergenic	Intergenic	-91415	NR_155430	100503142	Mm.359204	NR_155430		B230303A05Rik	B230303A05|EG328191	U1 small nuclear ribonucleoprotein 1C pseudogene	pseudo
162	chr8	10798563	10798762	+	0	NA	Intergenic	Intergenic	83792	NR_040705	320014	Mm.403203	NR_040705	ENSMUSG00000109473	B930025P03Rik	-	RIKEN cDNA B930025P03 gene	ncRNA
123	chr6	4704050	4704243	+	0	NA	intron (NM_001130188, intron 6 of 11)	intron (NM_001130188, intron 6 of 11)	43058	NM_011360	20392	Mm.8739	NM_011360	ENSMUSG00000004631	Sgce	e-SG	sarcoglycan, epsilon	protein-coding
146	chr7	16639028	16639233	+	0	NA	Intergenic	Intergenic	18348	NR_003247	100038912	Mm.389813	NR_003247	ENSMUSG00000108307	Ceacam-ps1	Gm1978	carcinoembryonic antigen-related cell adhesion molecule pseudogene 1	pseudo
31	chr2	26513403	26513736	+	0	NA	Intergenic	Intergenic	9642	NR_132655	102639736		NR_132655		Gm35978	-	predicted gene, 35978	ncRNA
277	chr15	86224862	86225053	+	0	NA	intron (NM_145476, intron 1 of 12)	intron (NM_145476, intron 1 of 12)	10498	NM_145476	223754	Mm.28904	NM_145476	ENSMUSG00000051864	Tbc1d22a	BC023106|D15Ertd781e	TBC1 domain family, member 22a	protein-coding
49	chr2	144198659	144198940	+	0	NA	Intergenic	Intergenic	-9509	NR_136884	433481	Mm.330630	NR_136884	ENSMUSG00000074758	Gm5535	EG433481	predicted gene 5535	ncRNA
152	chr7	74327758	74328062	+	0	NA	exon (NM_023908, exon 5 of 10)	exon (NM_023908, exon 5 of 10)	226870	NM_023908	108116	Mm.425467	NM_023908	ENSMUSG00000025790	Slco3a1	5830414C08Rik|Anr1|MJAM|OATP-D|R75096|Slc21a11	solute carrier organic anion transporter family, member 3a1	protein-coding
233	chr12	116181410	116181827	+	0	NA	Intergenic	Intergenic	81407	NM_146039	217935	Mm.31382	NM_146039	ENSMUSG00000042050	Wdr60	D430033N04Rik	WD repeat domain 60	protein-coding
245	chr13	42018511	42018793	+	0	NA	Intergenic	Intergenic	-33369	NM_007772	110521	Mm.4808	NM_007772	ENSMUSG00000021366	Hivep1	Cryabp1	human immunodeficiency virus type I enhancer binding protein 1	protein-coding
303	chr17	68087290	68087479	+	0	NA	Intergenic	Intergenic	-83276	NM_172964	268970	Mm.9935	NM_172964	ENSMUSG00000024043	Arhgap28	AU044757|AW550892|E130310N06	Rho GTPase activating protein 28	protein-coding
121	chr5	149520975	149521159	+	0	NA	intron (NR_045423, intron 1 of 4)	L2|LINE|L2	-7612	NM_029440	381693	Mm.136919	NM_029440	ENSMUSG00000029658	Wdr95	4930434E21Rik	WD40 repeat domain 95	protein-coding
161	chr8	6105585	6105795	+	0	NA	Intergenic	Lx4A|LINE|L1	-1000403	NM_011388	20494	Mm.3500	NM_011388	ENSMUSG00000023073	Slc10a2	9130221J18Rik|AI605518|ASBT|IBAT|ISBT	solute carrier family 10, member 2	protein-coding
65	chr3	75647548	75647767	+	0	NA	non-coding (NR_040539, exon 3 of 3)	non-coding (NR_040539, exon 3 of 3)	8074	NR_040539	69193	Mm.374088	NR_040539	ENSMUSG00000099370	Platr10	2410007B07Rik	pluripotency associated transcript 10	ncRNA
72	chr3	138060426	138060702	+	0	NA	intron (NR_037975, intron 1 of 3)	intron (NR_037975, intron 1 of 3)	-1678	NM_001370862	102634333	Mm.45669	NM_001370862	ENSMUSG00000090066	1110002E22Rik	100039528|AI415341|Gm2292	RIKEN cDNA 1110002E22 gene	protein-coding
298	chr17	29916918	29917181	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-28471	NM_001368423	74762	Mm.40901	NM_001081160	ENSMUSG00000043557	Mdga1	1200011I03Rik|GPIM|Mamdc3	MAM domain containing glycosylphosphatidylinositol anchor 1	protein-coding
5	chr1	20928559	20928766	+	0	NA	intron (NM_001355122, intron 1 of 2)	MLTR73|LTR|ERV1	10822	NM_001355122	74229	Mm.40780	NM_028829	ENSMUSG00000025931	Paqr8	1700019B16Rik|3110001D06Rik	progestin and adipoQ receptor family member VIII	protein-coding
148	chr7	36030415	36030928	+	0	NA	Intergenic	Intergenic	-227682	NM_177739	668501	Mm.286296	NM_177739	ENSMUSG00000044452	Zfp507	1810022O10Rik|A230056M16Rik|AL024009|AU021817|BB105092|Gm480|Znf507|mKIAA1084	zinc finger protein 507	protein-coding
264	chr14	47634652	47634863	+	0	NA	Intergenic	Intergenic	-14554	NM_001347523	16709	Mm.3110	NM_008477	ENSMUSG00000021843	Ktn1	-	kinectin 1	protein-coding
132	chr6	65778970	65779362	+	0	NA	exon (NM_027547, exon 1 of 15)	exon (NM_027547, exon 1 of 15)	204	NM_029549	70779	Mm.263355	NM_027547	ENSMUSG00000029913	Prdm5	4432417F03Rik|6530401I24Rik|AI197291|E130112L17Rik|PFM2	PR domain containing 5	protein-coding
90	chr4	83235135	83235436	+	0	NA	intron (NM_027238, intron 17 of 19)	intron (NM_027238, intron 17 of 19)	88904	NM_027238	69863	Mm.5540	NM_025782	ENSMUSG00000038172	Ttc39b	1810054D07Rik|9130422G05Rik|AI450603|AV103077|AW215585	tetratricopeptide repeat domain 39B	protein-coding
314	chr18	4793337	4793606	+	0	NA	Intergenic	RLTR20B4_MM|LTR|ERVK	-19015	NR_045881	100038439	Mm.387569	NR_045881	ENSMUSG00000097043	Gm10556	-	predicted gene 10556	ncRNA
252	chr13	52922696	52922927	+	0	NA	intron (NM_016709, intron 1 of 9)	intron (NM_016709, intron 1 of 9)	6866	NM_016709	11992	Mm.252034	NM_016709	ENSMUSG00000021460	Auh	C77140|W91705	AU RNA binding protein/enoyl-coenzyme A hydratase	protein-coding
226	chr12	79832669	79832852	+	0	NA	Intergenic	L1MB4|LINE|L1	91973	NR_131075	77290	Mm.395042	NR_131073	ENSMUSG00000112765	9430078K24Rik	-	RIKEN cDNA 9430078K24 gene	ncRNA
328	chr19	32120792	32121041	+	0	NA	Intergenic	Intergenic	-17776	NM_018830	54447	Mm.491229	NM_018830	ENSMUSG00000024887	Asah2	AI585898	N-acylsphingosine amidohydrolase 2	protein-coding
263	chr14	27412016	27412351	+	0	NA	Intergenic	L1M3|LINE|L1	-16651	NM_028945	218850	Mm.247767	NM_028945	ENSMUSG00000040651	Tasor	4732418E12|4933409E02Rik|D14Abb1e|Fam208a|MommeD6	transcription activation suppressor	protein-coding
142	chr6	123260018	123260407	+	0	NA	Intergenic	Intergenic	-1895	NM_001163161	17474	Mm.441101	NM_010819	ENSMUSG00000030144	Clec4d	Clecsf8|Mpcl|mcl	C-type lectin domain family 4, member d	protein-coding
175	chr8	70903977	70904279	+	0	NA	Intergenic	B1F2|SINE|Alu	-1846	NM_173013	270058	Mm.248559	NM_173013	ENSMUSG00000019261	Map1s	6430517J16Rik|Bpy2ip1|Map8|Mtap1s|VCY2IP1	microtubule-associated protein 1S	protein-coding
172	chr8	25576247	25576490	+	0	NA	TTS (NM_010206)	TTS (NM_010206)	-20285	NR_110510	102633315	Mm.437828	NR_110510	ENSMUSG00000086134	Gm16159	-	predicted gene 16159	ncRNA
192	chr9	62757535	62757730	+	0	NA	exon (NM_176922, exon 15 of 30)	exon (NM_176922, exon 15 of 30)	54016	NM_010193	14155	Mm.24069	NM_010193	ENSMUSG00000032244	Fem1b	mKIAA0396	feminization 1 homolog b (C. elegans)	protein-coding
27	chr2	18301068	18301238	+	0	NA	intron (NM_007869, intron 6 of 11)	RMER1C|Other|Other	91677	NM_001190817	13418	Mm.246674	NM_007869	ENSMUSG00000026740	Dnajc1	4733401K02Rik|AA960110|D230036H06Rik|Dnajl1|ERdj1|ERj1p|MTJ1	DnaJ heat shock protein family (Hsp40) member C1	protein-coding
318	chr18	21152272	21152480	+	0	NA	intron (NM_001033445, intron 3 of 5)	intron (NM_001033445, intron 3 of 5)	80032	NM_008586	17288	Mm.2682	NM_008586	ENSMUSG00000024313	Mep1b	Mep-1b	meprin 1 beta	protein-coding
232	chr12	116181410	116181827	+	0	NA	Intergenic	Intergenic	81407	NM_146039	217935	Mm.31382	NM_146039	ENSMUSG00000042050	Wdr60	D430033N04Rik	WD repeat domain 60	protein-coding
26	chr2	10718383	10718587	+	0	NA	Intergenic	Intergenic	200330	NR_035418	100316831		NR_035418	ENSMUSG00000080594	Mir669h	Mirn669h|mir-669h|mmu-mir-669h	microRNA 669h	ncRNA
